,序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201909),净利润(201909),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
0,1,1,平安银行,平安银行股份有限公司,深圳市,罗湖区,1029.58亿,236.21亿,32758,1991-04-03,--,,银行,主营业务:经有关监管机构批准的各项商业银行业务,经有关监管机构批准的各项商业银行业务
1,2,2,万科A,万科企业股份有限公司,深圳市,盐田区,2239.15亿,285.90亿,112059,1991-01-29,--,,房地产开发,主营业务:房地产开发和物业服务,房地产开发和物业服务
2,3,4,国农科技,深圳中国农大科技股份有限公司,深圳市,南山区,1.08亿,-1304.78万,210,1991-01-14,--,,生物医药,主营业务:生物制药,生物制药
3,4,5,世纪星源,深圳世纪星源股份有限公司,深圳市,罗湖区,5.69亿,4738.39万,745,1990-12-10,--,,环保工程、物业管理,主营业务:绿色低碳城市社区建设相关的服务业务,绿色低碳城市社区建设相关的服务业务
4,5,6,深振业A,深圳市振业(集团)股份有限公司,深圳市,罗湖区,19.63亿,4.62亿,377,1992-04-27,--,,房地产开发,主营业务:从事房地产开发与销售,从事房地产开发与销售
5,6,7,全新好,深圳市全新好股份有限公司,深圳市,福田区,3107.44万,-935.32万,84,1992-04-13,--,,物业经营,主营业务:物业管理和房屋租赁业等,物业管理和房屋租赁业等
6,7,8,神州高铁,神州高铁技术股份有限公司,北京市,海淀区,15.60亿,1.58亿,2631,1992-05-07,--,,轨道交通设备,主营业务:专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案,专业致力于为轨道交通安全运营提供监测、检测、维修、保养设备和服务及整体解决方案
7,8,9,中国宝安,中国宝安集团股份有限公司,深圳市,罗湖区,87.93亿,5.74亿,13620,1991-06-25,--,,综合,主营业务:新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业,新能源、新材料及其它高新技术产业、生物医药业、房地产业以及其他行业
8,9,10,*ST美丽,深圳美丽生态股份有限公司,深圳市,宝安区,10.83亿,1.11亿,545,1995-10-27,--,,园林工程,主营业务:从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。,从事苗木种植、园林绿化工程施工和养护为一体的综合性园林服务。
9,10,11,深物业A,深圳市物业发展(集团)股份有限公司,深圳市,罗湖区,10.02亿,4615.25万,5504,1992-03-30,--,,房地产开发,主营业务:从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等,从事房地产开发经营，兼营物业管理、房屋租赁、出租车客运、餐饮服务等
10,11,12,南玻A,中国南玻集团股份有限公司,深圳市,南山区,76.62亿,5.62亿,10800,1992-02-28,--,,玻璃,"主营业务:平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售","平板玻璃、工程玻璃等节能建筑材料,硅材料、光伏组件等可再生能源产品及超薄电子玻璃等新型材料和高科技产品的生产、制造和销售"
11,12,14,沙河股份,沙河实业股份有限公司,深圳市,南山区,9076.62万,-1155.58万,148,1992-06-02,--,,房地产开发,主营业务:房地产开发和销售,房地产开发和销售
12,13,16,深康佳A,康佳集团股份有限公司,深圳市,南山区,416.81亿,6.31亿,18965,1992-03-27,--,,电视机,主营业务:彩电业务、手机业务、白电业务、供应链贸易,彩电业务、手机业务、白电业务、供应链贸易
13,14,17,深中华A,深圳中华自行车(集团)股份有限公司,深圳市,深圳市,6284.89万,-4.06万,53,1992-03-31,--,,自行车,主营业务:电动自行车、自行车及零配件的生产和销售以及物业管理。,电动自行车、自行车及零配件的生产和销售以及物业管理。
14,15,18,*ST神城,神州长城股份有限公司,深圳市,龙岗区,3.24亿,-15.29亿,821,1992-06-16,--,,装修装饰,主营业务:建筑装饰工程设计与施工及建筑相关工程施工,建筑装饰工程设计与施工及建筑相关工程施工
15,16,19,深粮控股,深圳市深粮控股股份有限公司,深圳市,南山区,74.81亿,3.46亿,1096,1992-10-12,--,,软饮料,主营业务:茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业,茶及天然植物精深加工为主的食品原料(配料)生产研发和销售业务;粮油储备粮油贸易粮油加工等粮油流通及粮油储备服务业
16,17,20,深华发A,深圳中恒华发股份有限公司,深圳市,福田区,5.49亿,337.67万,1016,1992-04-28,--,,电子零部件,主营业务:精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。,精密注塑件的加工、销售;液晶显示器的加工、销售;轻型包装材料的加工、销售以及物业租赁业务。
17,18,21,深科技,深圳长城开发科技股份有限公司,深圳市,福田区,100.86亿,3.41亿,21974,1994-02-02,--,,PC、服务器及硬件,主营业务:计算机硬件、通讯设备等。,计算机硬件、通讯设备等。
18,19,22,深赤湾A,招商局港口集团股份有限公司,深圳市,南山区,--,--,1719,1993-05-05,--,,港口,装卸业务、港口配套业务、代理及其他业务,集装箱和散杂货的港口装卸、仓储、运输及其它配套服务
19,20,23,深天地A,深圳市天地(集团)股份有限公司,深圳市,南山区,12.68亿,7937.17万,1088,1993-04-29,--,,商品混凝土,主营业务:混凝土的生产和销售、房地产的开发与销售,混凝土的生产和销售、房地产的开发与销售
0,21,25,特力A,深圳市特力(集团)股份有限公司,深圳市,罗湖区,4.26亿,6541.11万,337,1993-06-21,--,,汽车销售,主营业务:汽车销售、汽车检测维修及配件销售、物业租赁及服务,汽车销售、汽车检测维修及配件销售、物业租赁及服务
1,22,26,飞亚达A,飞亚达(集团)股份有限公司,深圳市,南山区,27.40亿,1.79亿,5162,1993-06-03,--,,珠宝首饰,"主营业务:主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售","主要从事钟表及其零配件的设计、开发、制造、销售和维修业务，包括""飞亚达""表的产品经营和世界名表的商业连锁销售"
2,23,27,深圳能源,深圳能源集团股份有限公司,深圳市,福田区,157.80亿,19.40亿,6649,1993-09-03,--,,火电,"主营业务:各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等","各种常规能源和新能源的开发、生产、购销,以及城市固体废物处理、城市燃气供应和废水处理等"
3,24,28,国药一致,国药集团一致药业股份有限公司,深圳市,福田区,388.76亿,11.27亿,24821,1993-08-09,--,,医药商业,主营业务:药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。,药品的研发、生产，中西成药、中药材、生物制品、生化药品、保健品、医疗器械的批发销售和连锁零售。
4,25,29,深深房A,深圳经济特区房地产(集团)股份有限公司,深圳市,罗湖区,19.03亿,4.40亿,1954,1993-09-15,--,,房地产开发,主营业务:商品住宅销售、物业租赁及管理服务、酒店客房服务，以及建筑安装装修服务。,商品住宅销售、物业租赁及管理服务、酒店客房服务，以及建筑安装装修服务。
5,26,30,富奥股份,富奥汽车零部件股份有限公司,长春市,绿园区,68.55亿,6.09亿,7560,1993-09-29,--,,汽车零部件,主营业务:汽车零部件的生产与销售,汽车零部件的生产与销售
6,27,31,大悦城,大悦城控股集团股份有限公司,深圳市,宝安区,223.32亿,37.49亿,4238,1993-10-08,--,,房地产开发,主营业务:房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业,房地产开发、经营、销售、出租及管理住宅、商用物业、工业物业
7,28,32,深桑达A,深圳市桑达实业股份有限公司,深圳市,南山区,10.12亿,8958.56万,457,1993-10-28,--,,电子物流,主营业务:电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。,电子制造、电子商贸、电子物流服务等在内的一体化现代电子信息服务。
8,29,33,新都退,深圳新都酒店股份有限公司,--,广东,--,--,242,1994-01-03,--,,--,酒店经营、租赁业务、贸易业务、互联网业务、酒店咨询管理,酒店业务及其附属设施业务
9,30,34,神州数码,神州数码集团股份有限公司,深圳市,南山区,629.76亿,5.10亿,4228,1994-05-09,--,,贸易,"主营业务:云管理服务及数字化方案提供商,IT领域分销和增值服务商","云管理服务及数字化方案提供商,IT领域分销和增值服务商"
10,31,35,中国天楹,中国天楹股份有限公司,南通市,海安县,130.67亿,4.74亿,8631,1994-04-08,--,,垃圾发电,主营业务:以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备,以BOO、BOT方式投资、建设和运营城市生活垃圾焚烧发电项目，研发、生产、销售垃圾焚烧发电及环保成套设备
11,32,36,华联控股,华联控股股份有限公司,深圳市,福田区,22.53亿,6.64亿,835,1994-06-17,--,,房地产开发,主营业务:房地产开发及自有物业租赁管理业务,房地产开发及自有物业租赁管理业务
12,33,37,深南电A,深圳南山热电股份有限公司,深圳市,南山区,8.17亿,317.82万,520,1994-07-01,--,,火电,主营业务:生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务,生产经营供电供热、从事发电厂(站)的相关技术咨询和技术服务
13,34,38,深大通,深圳大通实业股份有限公司,深圳市,南山区,14.74亿,167.67万,--,1994-08-08,--,,网络媒体,主营业务:新媒体传媒运营、广告发布,新媒体传媒运营、广告发布
14,35,39,中集集团,中国国际海运集装箱(集团)股份有限公司,深圳市,南山区,616.60亿,12.22亿,50865,1994-04-08,--,,金属制品,主营业务:主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务,主要从事集装箱、能源、化工及液态食品装备、海洋工程装备、空港设备的制造及服务业务
15,36,40,东旭蓝天,东旭蓝天新能源股份有限公司,深圳市,罗湖区,63.89亿,7337.71万,2265,1994-08-08,--,,太阳能,"主营业务:光伏电站投资、建设、运营,房地产开发与销售、物业管理等","光伏电站投资、建设、运营,房地产开发与销售、物业管理等"
16,37,42,中洲控股,深圳市中洲投资控股股份有限公司,深圳市,南山区,38.02亿,7.95亿,2543,1994-09-21,--,,房地产开发,主营业务:房地产开发、物业租赁经营、酒店经营、建筑施工。,房地产开发、物业租赁经营、酒店经营、建筑施工。
17,38,43,中航善达,中航善达股份有限公司,深圳市,福田区,39.18亿,1.25亿,19886,1994-09-28,--,,房地产开发,主营业务:物业资产管理业务,物业资产管理业务
18,39,45,深纺织A,深圳市纺织(集团)股份有限公司,深圳市,福田区,16.41亿,-30.27万,1337,1994-08-15,--,,显示器件,"主营业务:以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。","以液晶显示用偏光片的研发、生产、营销为代表的高新技术产业,同时还有以地处深圳繁华商业区为主的物业经营管理业务及保留的高档纺织服装业务。"
19,40,46,泛海控股,泛海控股股份有限公司,北京市,东城区,82.97亿,27.54亿,10170,1994-09-12,--,,房地产开发,主营业务:金融、房地产、战略投资等业务,金融、房地产、战略投资等业务
0,41,48,*ST康达,深圳市康达尔(集团)股份有限公司,深圳市,罗湖区,17.25亿,3.21亿,1556,1994-11-01,--,,饲料,主营业务:交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售,交通运输、自来水供应，房地产开发、物业管理，肉猪、肉鸡养殖，饲料生产销售
1,42,49,德赛电池,深圳市德赛电池科技股份有限公司,深圳市,南山区,125.40亿,4.52亿,10565,1995-03-20,--,,电池,主营业务:生产制造电源管理系统及各类锂电池,生产制造电源管理系统及各类锂电池
2,43,50,深天马A,天马微电子股份有限公司,深圳市,福田区,234.22亿,10.34亿,40513,1995-03-15,--,,显示器件,主营业务:从事液晶显示器及相关材料、设备、产品的设计、制造、销售,从事液晶显示器及相关材料、设备、产品的设计、制造、销售
3,44,55,方大集团,方大集团股份有限公司,深圳市,南山区,21.25亿,1.56亿,2206,1996-04-15,--,,其他建材,主营业务:生产和经营新型建筑材料。,生产和经营新型建筑材料。
4,45,56,皇庭国际,深圳市皇庭国际企业股份有限公司,深圳市,福田区,7.23亿,1.53亿,722,1996-07-08,--,,物业租赁、物业管理,主营业务:商业不动产运营管理业务、资产管理业务以及各配套服务业务,商业不动产运营管理业务、资产管理业务以及各配套服务业务
5,46,58,深赛格,深圳赛格股份有限公司,深圳市,福田区,11.14亿,1.50亿,2411,1996-12-26,--,,专业市场,主营业务:电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。,电子专业市场及配套项目的开发及经营、物业租赁服务业务、IT产品渠道零售终端业务、电子商务和小额贷款增值业务。
6,47,59,华锦股份,北方华锦化学工业股份有限公司,盘锦市,双台子区,279.82亿,9.80亿,8298,1997-01-30,--,,石油加工,主营业务:石油化工产品、化学肥料的生产与销售。,石油化工产品、化学肥料的生产与销售。
7,48,60,中金岭南,深圳市中金岭南有色金属股份有限公司,深圳市,福田区,173.66亿,6.52亿,9855,1997-01-23,--,,铅锌,主营业务:有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等,有色金属矿产品、冶炼产品、深加工产品、综合利用产品及电池材料、铝型材、幕墙工程、出租车营运、房地产开发等
8,49,61,农产品,深圳市农产品集团股份有限公司,深圳市,罗湖区,21.09亿,2.45亿,4824,1997-01-10,--,,专业市场,主营业务:农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。,农产品批发市场的开发、建设、经营和管理，大宗农产品电子交易和蔬菜种植等。
9,50,62,深圳华强,深圳华强实业股份有限公司,深圳市,福田区,99.30亿,5.52亿,1905,1997-01-30,--,,专业市场,主营业务:面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。,面向电子信息产业链的现代高端服务业，为产业链上的各环节提供线上线下交易服务、产品服务、技术服务、交易信息服务和创新创业配套服务，打造面向电子信息产业的国内一流交易服务和创新创业服务双平台。
10,51,63,中兴通讯,中兴通讯股份有限公司,深圳市,南山区,642.41亿,48.18亿,68240,1997-11-18,--,,通信传输设备,主营业务:设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端,设计、开发、生产、分销及安装各种先进的ICT领域系统、设备和终端
11,52,65,北方国际,北方国际合作股份有限公司,北京市,丰台区,66.28亿,5.10亿,1921,1998-06-05,--,,专业工程,主营业务:国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能,国际工程承包、国内建筑工程、重型装备出口贸易、物流服务、物流自动化设备系统集成服务、太阳能
12,53,66,中国长城,中国长城科技集团股份有限公司,深圳市,南山区,71.50亿,2.00亿,13846,1997-06-26,--,,PC、服务器及硬件,主营业务:计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。,计算机及相关设备制造，高新电子业务，涉及军事通信、卫星与定位导航、海洋信息安全产业及军用自主可控计算机及网络等领域。
13,54,68,华控赛格,深圳华控赛格股份有限公司,深圳市,宝安区,9893.47万,-7383.21万,541,1997-06-11,--,,环保材料,主营业务:节能环保和新材料,节能环保和新材料
14,55,69,华侨城A,深圳华侨城股份有限公司,深圳市,南山区,298.61亿,68.23亿,24934,1997-09-10,--,,景区,主营业务:主题公园、酒店服务、房地产开发、纸包装等,主题公园、酒店服务、房地产开发、纸包装等
15,56,70,特发信息,深圳市特发信息股份有限公司,深圳市,南山区,30.49亿,1.07亿,4179,2000-05-11,--,,通信传输设备,主营业务:光纤、光缆、通信设备的生产和销售,光纤、光缆、通信设备的生产和销售
16,57,78,海王生物,深圳市海王生物工程股份有限公司,深圳市,南山区,307.02亿,6.56亿,11615,1998-12-18,--,,医药商业,主营业务:生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售,生物制品、生化制品、海洋药物、海洋生物制品、中成药的生产销售
17,58,88,盐田港,深圳市盐田港股份有限公司,深圳市,盐田区,4.56亿,3.07亿,775,1997-07-28,--,,港口,"主营业务:港口投资开发和经营；货物装卸与运输业务,码头建设工程管理,收费高速公路运营管理,出口货物监管仓和其他港口配套仓储物流经营。","港口投资开发和经营；货物装卸与运输业务,码头建设工程管理,收费高速公路运营管理,出口货物监管仓和其他港口配套仓储物流经营。"
18,59,89,深圳机场,深圳市机场股份有限公司,深圳市,宝安区,28.10亿,4.89亿,5720,1998-04-20,--,,机场,主营业务:航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。,航空客货运输地面服务、郊区公路客货运输、航空客货物流代理业务等劳务。
19,60,90,天健集团,深圳市天健(集团)股份有限公司,深圳市,福田区,60.65亿,2.42亿,7485,1999-07-21,--,,专业工程,主营业务:提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。,提供商品住宅的开发及销售、工程施工劳务、物业租赁服务、物业管理服务、商业运营及服务。
0,61,96,广聚能源,深圳市广聚能源股份有限公司,深圳市,南山区,12.05亿,1.09亿,403,2000-07-24,--,,石油天然气贸易,主营业务:从事油品、液化石油气销售、液体化工品仓储及电力投资,从事油品、液化石油气销售、液体化工品仓储及电力投资
1,62,99,中信海直,中信海洋直升机股份有限公司,深圳市,罗湖区,11.45亿,1.57亿,1090,2000-07-31,--,,航空,主营业务:通用航空飞行服务和维修服务,通用航空飞行服务和维修服务
2,63,100,TCL集团,TCL集团股份有限公司,惠州市,惠城区,589.04亿,34.87亿,89750,2004-01-30,--,,电视机,主营业务:从事研究、开发、生产、销售电子产品及通讯设备、新型光电、液晶显示器件，五金交电，VCD、DVD视盘机，家庭影院系统，电子计算机及配件，电池，数字卫星电视接收机，建筑材料，普通机械。,从事研究、开发、生产、销售电子产品及通讯设备、新型光电、液晶显示器件，五金交电，VCD、DVD视盘机，家庭影院系统，电子计算机及配件，电池，数字卫星电视接收机，建筑材料，普通机械。
3,64,150,宜华健康,宜华健康医疗股份有限公司,汕头市,澄海区,13.91亿,1550.38万,13668,2000-08-07,--,,医疗服务,主营业务:健康医疗服务,健康医疗服务
4,65,151,中成股份,中成进出口股份有限公司,北京市,丰台区,6.53亿,243.62万,384,2000-09-06,--,,贸易,主营业务:成套设备与技术进出口、一般贸易和境外经营。,成套设备与技术进出口、一般贸易和境外经营。
5,66,153,丰原药业,安徽丰原药业股份有限公司,芜湖市,无为县,23.86亿,7488.47万,4758,2000-09-20,--,,化学制剂,主营业务:生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。,生物药、中药、化学合成药及其制剂等方面的研究、开发、生产和销售。
6,67,155,川能动力,四川省新能源动力股份有限公司,成都市,青白江区,13.05亿,3.18亿,212,2000-09-26,--,,氮肥,主营业务:从事合成氨、尿素、三聚氰胺、硝酸铵、氮磷复合肥、硫酸、硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售，风力发电、光伏发电,从事合成氨、尿素、三聚氰胺、硝酸铵、氮磷复合肥、硫酸、硝酸、硫酸钾、过氧化氢、液体二氧化碳、催化剂等化肥、化工产品的生产和销售，风力发电、光伏发电
7,68,156,华数传媒,华数传媒控股股份有限公司,杭州市,滨江区,25.09亿,5.06亿,4919,2000-09-06,--,,有线电视,主营业务:杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业,杭州地区有线电视网络运营和面向全国的互动电视、手机电视、互联网电视、互联网视频、广告等传媒信息服务业
8,69,157,中联重科,中联重科股份有限公司,长沙市,岳麓区,317.55亿,34.60亿,15121,2000-10-12,--,,工程机械,主营业务:混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。,混凝土机械、起重机械、路面机械、环卫机械等产品及配套件的开发、生产、销售和租赁。
9,70,158,常山北明,石家庄常山北明科技股份有限公司,石家庄市,长安区,64.89亿,3506.09万,5092,2000-07-24,--,,棉纺,主营业务:软件及信息服务,软件及信息服务
10,71,159,国际实业,新疆国际实业股份有限公司,乌鲁木齐市,新市区,3.28亿,-1443.67万,315,2000-09-26,--,,石油天然气贸易,主营业务:油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。,油品批发、零售、仓储、运输；能源贸易；房地产开发与销售。
11,72,166,申万宏源,申万宏源集团股份有限公司,乌鲁木齐市,天山区,164.22亿,48.02亿,--,2015-01-26,--,,证券,主营业务:金融投资、股权投资等,金融投资、股权投资等
12,73,301,东方盛虹,江苏东方盛虹股份有限公司,苏州市,吴江区,187.38亿,11.88亿,13118,2000-05-29,--,,火电,主营业务:以民用涤纶长丝的研发、生产和销售为核心，以热电等业务为补充。,以民用涤纶长丝的研发、生产和销售为核心，以热电等业务为补充。
13,74,333,美的集团,美的集团股份有限公司,佛山市,顺德区,2217.74亿,223.60亿,114765,2013-09-18,--,,空调、小家电,主营业务:以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流,以家电产业为主，涉足电机、物流等领域，旗下分为四大业务板块，分别为大家电、小家电、电机及物流
14,75,338,潍柴动力,潍柴动力股份有限公司,潍坊市,奎文区,1267.08亿,93.29亿,42103,2007-04-30,--,,汽车零部件,主营业务:研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务,研究、生产及销售发动机及其零部件、重型汽车、重型汽车车桥、变速箱及其他汽车零部件等业务
15,76,400,许继电气,许继电气股份有限公司,许昌市,魏都区,52.38亿,3.10亿,5422,1997-04-18,--,,电气自控设备,主营业务:从事电力系统二次设备和一次设备的研制、销售,从事电力系统二次设备和一次设备的研制、销售
16,77,401,冀东水泥,唐山冀东水泥股份有限公司,唐山市,丰润区,262.54亿,43.22亿,20141,1996-06-14,--,,水泥,主营业务:生产和销售水泥、熟料以及石灰石开采和销售,生产和销售水泥、熟料以及石灰石开采和销售
17,78,402,金融街,金融街控股股份有限公司,北京市,西城区,133.50亿,18.22亿,3557,1996-06-26,--,,房地产开发,主营业务:房地产开发和经营,房地产开发和经营
18,79,403,振兴生化,振兴生化股份有限公司,太原市,小店区,6.41亿,1.26亿,1063,1996-06-28,--,,生物医药,主营业务:生产和销售血液制品,生产和销售血液制品
19,80,404,长虹华意,长虹华意压缩机股份有限公司,景德镇市,昌江区,69.44亿,1.17亿,7737,1996-06-19,--,,压缩机,主营业务:冰箱压缩机及商用压缩机的研发、生产和销售,冰箱压缩机及商用压缩机的研发、生产和销售
0,81,407,胜利股份,山东胜利股份有限公司,济南市,历下区,39.87亿,1.74亿,2001,1996-07-03,--,,燃气,主营业务:天然气、生物、农化、塑胶等产业组成,天然气、生物、农化、塑胶等产业组成
1,82,408,藏格控股,藏格控股股份有限公司,海西蒙古族藏族自治州,格尔木市,11.60亿,3.52亿,1710,1996-06-28,--,,钾肥,主营业务:钾肥(氯化钾)的生产和销售。,钾肥(氯化钾)的生产和销售。
2,83,409,ST地矿,山东地矿股份有限公司,济南市,历城区,17.31亿,-4.74亿,1548,1996-06-27,--,,综合,主营业务:矿石的开采、加工及矿产品销售,矿石的开采、加工及矿产品销售
3,84,410,*ST沈机,沈阳机床股份有限公司,沈阳市,于洪区,9.44亿,-25.80亿,8338,1996-07-18,--,,机床设备,主营业务:金属切削机床制造,金属切削机床制造
4,85,411,英特集团,浙江英特集团股份有限公司,杭州市,下城区,183.13亿,2.78亿,2400,1996-07-16,--,,医药商业,主营业务:主要从事药品及医疗器械批发业务,主要从事药品及医疗器械批发业务
5,86,413,东旭光电,东旭光电科技股份有限公司,石家庄市,石家庄市,125.66亿,11.86亿,8606,1996-09-25,--,,显示器件,主营业务:电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等,电真空玻璃器件及其配套电子元器件的生产与销售和平板显示玻璃基板及其装备的研发、生产与销售等
6,87,415,渤海租赁,渤海租赁股份有限公司,乌鲁木齐市,沙依巴克区,262.63亿,32.47亿,818,1996-07-16,--,,其他非银行金融,主营业务:融资租赁和经营性租赁,融资租赁和经营性租赁
7,88,416,民生控股,民生控股股份有限公司,青岛市,崂山区,6087.46万,3196.04万,51,1996-07-19,--,,其他非银行金融,主营业务:典当、财富管理及保险经纪,典当、财富管理及保险经纪
8,89,417,合肥百货,合肥百货大楼集团股份有限公司,合肥市,庐阳区,83.83亿,2.40亿,9558,1996-08-12,--,,百货,主营业务:百货零售业、农产品交易市场两大类业务,百货零售业、农产品交易市场两大类业务
9,90,418,小天鹅A,无锡小天鹅股份有限公司,无锡市,无锡市,--,--,11459,1997-03-28,--,,洗衣机,主营业务:家用洗衣机的研发、生产和销售,家用洗衣机的研发、生产和销售
10,91,419,通程控股,长沙通程控股股份有限公司,长沙市,雨花区,26.69亿,1.61亿,3071,1996-08-16,--,,百货,主营业务:商业零售业、典当业及旅游酒店业,商业零售业、典当业及旅游酒店业
11,92,420,吉林化纤,吉林化纤股份有限公司,吉林市,昌邑区,19.49亿,9338.98万,5302,1996-08-02,--,,粘胶纤维,主营业务:从事粘胶纤维的生产、研发和销售,从事粘胶纤维的生产、研发和销售
12,93,421,南京公用,南京公用发展股份有限公司,南京市,建邺区,26.16亿,1.42亿,2617,1996-08-06,--,,燃气,主营业务:客运业务、燃气业务及房地产业务,客运业务、燃气业务及房地产业务
13,94,422,ST宜化,湖北宜化化工股份有限公司,宜昌市,猇亭区,105.07亿,1.04亿,8442,1996-08-15,--,,氮肥,主营业务:化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。,化肥产品(尿素、磷酸二铵等)、化工产品(聚氯乙烯、烧碱等)的生产、销售。
14,95,423,东阿阿胶,东阿阿胶股份有限公司,聊城市,东阿县,28.30亿,2.07亿,4836,1996-07-29,--,,中药生产,主营业务:从事阿胶及阿胶系列产品的研发、生产和销售业务,从事阿胶及阿胶系列产品的研发、生产和销售业务
15,96,425,徐工机械,徐工集团工程机械股份有限公司,徐州市,鼓楼区,432.39亿,30.34亿,14318,1996-08-28,--,,工程机械,主营业务:主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。,主要从事工程起重机械、铲运机械、压实机械、混凝土机械、路面机械、消防机械、其他工程机械及工程机械备件的研发、制造和销售。
16,97,426,兴业矿业,内蒙古兴业矿业股份有限公司,赤峰市,松山区,5.64亿,-1.03亿,378,1996-08-28,--,,铅锌,主营业务:有色金属采选及冶炼,有色金属采选及冶炼
17,98,428,华天酒店,华天酒店集团股份有限公司,长沙市,芙蓉区,8.82亿,-2.20亿,4818,1996-08-08,--,,酒店,主营业务:住宿、餐饮。,住宿、餐饮。
18,99,429,粤高速A,广东省高速公路发展股份有限公司,广州市,越秀区,22.81亿,12.74亿,2197,1998-02-20,--,,高速公路,主营业务:广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询,广佛高速公路和佛开高速公路的收费和养护工作，投资科技产业及提供相关咨询
19,100,430,张家界,张家界旅游集团股份有限公司,张家界市,永定区,3.24亿,3994.95万,1139,1996-08-29,--,,景区,主营业务:旅游项目经营；旅游客运；旅行社经营；其他:酒店经营、房屋租赁、广告代理等,旅游项目经营；旅游客运；旅行社经营；其他：酒店经营、房屋租赁、广告代理等
