Year,Month,Tmax,Tmin,Rain,Sun
1988,12,10.4,4.8,8.9,37.5
1989,1,9.5,3.1,26,59.2
1989,2,10.2,2.6,40.2,94.2
1989,3,12.9,4.5,56.6,100
1989,4,11.5,4.3,64.2,144.5
1989,5,21,10,12.1,310.1
1989,6,22.1,11.4,35.5,258.5
1989,7,25.8,14.8,36.7,274.8
1989,8,24.2,13.1,55.7,267.1
1989,9,20.7,12.6,10.8,131.2
1989,10,17.1,9.7,52.8,113.4
1989,11,10.9,3.7,23.8,107
1989,12,9.4,4.2,119.3,33.6
1990,1,10.2,4.4,71.1,57.6
1990,2,11.7,5.3,92.3,94.3
1990,3,13.6,4.8,6.9,154.6
1990,4,14.6,4.2,29.7,245
1990,5,20.5,9,4.1,287
1990,6,19.5,10.8,39.5,132.5
1990,7,24.7,13.2,6.9,273.2
1990,8,26,14.7,26.8,249.3
1990,9,19.7,10,24.9,173.4
1990,10,16.9,9.6,49.7,122.5
1990,11,10.7,5.1,22.1,70
1990,12,7.6,2.5,51.4,47.8
1991,1,7.3,1.8,69.7,68.4
1991,2,5.4,-1.3,34.7,48.5
1991,3,12.5,5.3,25.9,102.7
1991,4,13.1,4.8,52.8,158.5
1991,5,15.7,7.7,9.1,138.7
1991,6,17.8,9.7,88.6,135
1991,7,23.2,14.4,92.9,218.6
1991,8,24.1,14.4,26,241.7
1991,9,21.4,11.5,43.7,183
1991,10,14.6,7.6,18.5,87.1
1991,11,10.6,4.2,59.3,59.2
1991,12,8.3,1.7,12,60.7
1992,1,7.5,2,12.6,56
1992,2,9.5,2.3,17.7,50.3
1992,3,11.8,4.9,38.5,61.8
1992,4,14,5.6,57.1,129.7
1992,5,21,10.2,94.5,271.9
1992,6,22.5,12.3,22.5,213.7
1992,7,22.5,14.2,62.3,158.6
1992,8,21.7,13.6,84.7,149.2
1992,9,18.9,11,77.3,127.5
1992,10,12.5,5.3,59.4,112.6
1992,11,12,4.8,86.9,61.6
1992,12,7.8,1.6,35.9,49.1
1993,1,10.3,3.5,63.1,37.8
1993,2,7.2,2.5,2.4,51
1993,3,11.8,3.3,16,128.4
1993,4,14.6,6.8,75.3,126.9
1993,5,18,8.8,31.8,176.6
1993,6,21.8,12.2,43.9,224.2
1993,7,21.6,12.6,35,174.6
1993,8,21.6,11.7,23.8,219.4
1993,9,17.5,9.8,96.3,104.5
1993,10,13,7,123,117
1993,11,8.8,2.4,29.5,71.3
1993,12,9.2,3.6,73.8,52.4
1994,1,9.3,2.8,80,73.4
1994,2,7.7,1.2,42.6,72
1994,3,12.3,5.1,40,126.4
1994,4,13.3,5.1,52.8,175
1994,5,16,8.2,80.6,158.3
1994,6,21.5,11.2,17,265
1994,7,26.2,15.2,16.9,267.1
1994,8,23,13.8,32.2,180.9
1994,9,17.8,10.8,86.3,109.7
1994,10,15.4,7.7,76,141
1994,11,13.6,8.4,43.1,42.7
1994,12,10.7,4,63.3,60.8
1995,1,8.9,2.2,113.7,59.6
1995,2,10.7,4.4,71.9,70.9
1995,3,11.2,2,49.5,194.5
1995,4,15,6.1,16.9,199.5
1995,5,19,8.2,30,234.4
1995,6,20.7,10.8,11.1,187.7
1995,7,26.3,15.2,20.3,247.1
1995,8,27,15.6,0.3,295.3
1995,9,19.2,10.7,95,142.4
1995,10,18.3,10.2,19.2,129.9
1995,11,12,5.1,28.5,76.2
1995,12,5.8,1,82.8,44.7
1996,1,7.2,3.1,41.5,25.3
1996,2,6.8,0.1,49,100.3
1996,3,8.6,2.1,31.4,75.9
1996,4,14.3,5.5,25,147.5
1996,5,15.1,5.9,25.8,182.6
1996,6,22.8,11.3,12,282.7
1996,7,24.2,13.2,28.8,233.7
1996,8,23.1,13.4,45.8,217.6
1996,9,19.2,10.7,22,142
1996,10,16.6,8.9,35.4,142.3
1996,11,10.5,2.7,91,107.5
1996,12,6.2,1.4,13,57.6
1997,1,5.5,0.2,10.3,59.3
1997,2,10.8,4,55.1,58.1
1997,3,13.8,5.3,11.4,151
1997,4,15.6,5.4,9.8,218.5
1997,5,18.7,8.5,28.2,259.2
1997,6,20.2,12.2,78.6,151.6
1997,7,23.5,13.9,34.6,241.1
1997,8,25.8,16.6,70.5,194.2
1997,9,20.9,11.8,6.8,190.3
1997,10,15.9,7.5,44.9,166
1997,11,12.5,6.2,47.1,67.3
1997,12,9.5,4.2,47.4,48
1998,1,9.2,3.5,68.6,65.2
1998,2,11.6,3.5,6.6,113.1
1998,3,12.1,5.7,51.1,84.9
1998,4,12.7,5.7,82.6,115.4
1998,5,19.6,10.2,31.9,228.2
1998,6,19.9,12,89.6,158.4
1998,7,21.4,13,26.9,184.3
1998,8,23.5,12.7,16.6,262.6
1998,9,20.4,12.7,101.2,149.1
1998,10,14.7,8.6,103.8,96.7
1998,11,9.6,3.4,57,78.5
1998,12,9.7,3.8,49.2,42.4
1999,1,9.4,3.8,68.7,53.7
1999,2,8.8,2.8,21.1,90.1
1999,3,12.2,5,25.6,122.5
1999,4,14.9,6.3,35,167.8
1999,5,19.1,10.2,35.8,184.9
1999,6,20.3,11,98.2,239.1
1999,7,24.9,14.3,8.6,275.9
1999,8,22.8,14,124.8,199.8
1999,9,21.3,13.2,86.7,165
1999,10,15.6,7.9,49.2,160.5
1999,11,11.3,5.9,31.2,79
1999,12,8.7,2.4,77.2,75.3
2000,1,8.6,2.4,16.5,78.6
2000,2,10.4,3.8,62.2,102.5
2000,3,12.1,4.9,16,120.4
2000,4,12.9,5.4,99.6,135.8
2000,5,18,9.6,87.2,202.9
2000,6,21,12.8,19.2,169.5
2000,7,21,12.8,52.8,174.7
2000,8,23.2,14,32.3,211.4
2000,9,20.1,12.5,105.8,132.1
2000,10,14.7,8.5,155.4,98
2000,11,11,4.5,99.5,74.9
2000,12,9,4.6,73.9,50
2001,1,7.1,1.8,75.2,87
2001,2,9.2,2.8,69.6,92.3
2001,3,9.5,3.8,95.3,78.2
2001,4,12.8,5.4,66.5,138.5
2001,5,18.8,9.1,26,228
2001,6,20.8,11.3,39.1,248
2001,7,24.3,14.5,35.2,229.1
2001,8,23.5,14.5,79,210.9
2001,9,18.1,10.8,59.6,143.3
2001,10,17.6,11.3,108.2,109.9
2001,11,11.3,4.4,33.8,88.3
2001,12,7.3,1.4,17.8,93.3
2002,1,9.5,3.5,51,53.4
2002,2,11.3,4.8,64,91.4
2002,3,12.4,5.1,37.6,111.3
2002,4,15.7,6.1,38.4,220.5
2002,5,17.3,9.4,66.4,192.2
2002,6,20.1,11.6,74.2,191.5
2002,7,22.3,13.5,67.2,193.9
2002,8,23.3,14.7,36.3,190.4
2002,9,20.3,11.5,20,178.2
2002,10,15.3,8.4,61.6,109.2
2002,11,12.4,7,151,66.1
2002,12,9,5.2,119,34.1
2003,1,8,2.3,73.6,93.6
2003,2,8.4,1.8,20.8,101.2
2003,3,13.6,4.4,16.4,176.9
2003,4,15.7,6.3,30,198
2003,5,18.2,9,39.1,205.5
2003,6,23.3,13.3,47.6,245.5
2003,7,24.2,14.7,28.8,213.9
2003,8,26.4,15.7,10.4,255.3
2003,9,21.9,10.8,8.4,206.7
2003,10,14.5,6.4,35.2,160.7
2003,11,12.6,6.7,113.8,88.2
2003,12,8.8,3.2,51.4,58
2004,1,8.8,3.1,71.9,64
2004,2,8.7,3.8,26.2,65.3
2004,3,10.8,3.9,29.5,102.7
2004,4,14.9,6.3,68.8,155
2004,5,18.2,9.5,45,208.2
2004,6,22.1,12.6,40.4,236
2004,7,22.7,13.3,37.6,201.5
2004,8,23.8,15.1,107.8,213.3
2004,9,20.8,12.5,18.8,182.7
2004,10,15.3,9.1,96.6,101.2
2004,11,11.2,6.2,29.6,60.8
2004,12,8.8,2.9,46.4,48.2
2005,1,9.5,3.8,21.6,72.1
2005,2,7.3,2.5,19.7,62.4
2005,3,11.5,4.5,43.6,96.7
2005,4,14.6,6.2,30,153
2005,5,17.7,8.5,19.8,228.3
2005,6,22.8,12.9,32.6,219.3
2005,7,23.3,14.1,45.8,202.5
2005,8,23.2,13,42.4,250.4
2005,9,21.4,12.7,47.5,   143.9
2005,10,17.8,11.3,73.4,    89.9
2005,11,10.7,3.5,29.2,    93.3
2005,12,8.2,1.9,44.4,    65.7
2006,1,7.6,2.9,16.8,    51.4
2006,2,7.2,1.7,41.2,    62.9
2006,3,9.4,2.8,44.6,    91.2
2006,4,14.1,6,33.4,   132.3
2006,5,18,9.8,91.6,   128.2
2006,6,23.7,12.9,11.8,   225.3
2006,7,28.2,16.7,23.6,   266.4
2006,8,22.2,13.5,68.8,   140.2
2006,9,22.7,14.5,78.2,   153.9
2006,10,17.8,11.2,64.4,   106.3
2006,11,12.7,5.4,98,    97.0
2006,12,9.7,4.5,63.6,    41.2
2007,1,10.5,5.1,56,    56.6
2007,2,9.9,3.9,92.9,    59.3
2007,3,12.5,4.4,43.8,   164.7
2007,4,18.9,7.7,3.6,   224.6
2007,5,17.9,9.7,80,   149.6
2007,6,21.2,12.6,63.8,   139.7
2007,7,21.4,13.1,115.2,   159.9
2007,8,21.5,12.9,41,   192.6
2007,9,19.9,11.4,17.4,   141.1
2007,10,15.4,8.5,37.8,    98.4
2007,11,11.4,4.6,84.8,    81.3
2007,12,8.9,3.1,44.6,    61.4
2008,1,10.4,4.7,69,    60.2
2008,2,11,2,15.4,   130.0
2008,3,10.6,3.7,69.8,    85.7
2008,4,13.7,5.2,63.4,   140.3
2008,5,19.8,10.5,64.2,   162.6
2008,6,20.8,11.9,45.6,   201.9
2008,7,22.8,13.7,76.8,   172.5
2008,8,21.5,14.2,64.4,   104.3
2008,9,18.5,11.2,43,   110.7
2008,10,15,6.8,45,   134.4
2008,11,10.7,5.2,58.8,    42.2
2008,12,7.3,1.7,41.2,    65.1
2009,1,6.8,0.3,72.4,    63.2
2009,2,7.8,2.1,69.6,    59.2
2009,3,12.9,3.7,30,   158.5
2009,4,16.1,7.2,28,   172.8
2009,5,19.1,9.4,29.8,   193.9
2009,6,22.4,12.2,34,   192.8
2009,7,23,13.7,71.4,   155.8
2009,8,23.9,14.1,39.6,   167.6
2009,9,20.5,12,36,   137.3
2009,10,16.3,9.3,39.4,    84.7
2009,11,12.6,7.4,148,    62.4
2009,12,7,1.3,84.6,    60.3
2010,1,4.5,-0.3,51.8,    51.3
2010,2,6.9,1.7,100.4,    46.7
2010,3,11.1,3.7,39.8,   106.4
2010,4,15.8,5.6,23.2,   201.7
2010,5,17.3,7.7,20.6,   170.4
2010,6,23.5,12.1,12.4,   220.1
2010,7,25,15.1,18,   161.8
2010,8,21.6,13.2,88.6,   110.9
2010,9,19.4,11.2,38.2,   128.7
2010,10,15.2,8.3,74.8,   104.0
2010,11,9.1,4,32.2,    50.0
2010,12,3.9,-1.5,21.4,    18.5
2011,1,7.4,2.8,76.8,    35.6
2011,2,10.2,4.8,42.8,    36.2
2011,3,12.3,3.8,14.6,   126.4
2011,4,19.7,8.6,2.4,   218.0
2011,5,19.4,9.4,24.6,   218.0
2011,6,20.7,11,84,   173.5
2011,7,21.7,12.6,49.8,   173.6
2011,8,21.8,13.4,68.8,   144.1
2011,9,21.3,12.4,35,   161.2
2011,10,18.1,10.1,18.4,   140.4
2011,11,13.6,7.3,29,    52.5
2011,12,9.9,3.8,63,    60.6
2012,1,9.8,3.4,34.4,    68.5
2012,2,8,1.3,16.8,    84.9
2012,3,14.7,4.7,16.2,   180.3
2012,4,13.3,4.9,98.4,   141.7
2012,5,18.2,9.7,25.4,   166.6
2012,6,19.4,11.6,110.8,   118.5
2012,7,21.3,13.2,71.8,   161.6
2012,8,23.5,14.3,36.4,   182.6
2012,9,20,10.3,41.2,   178.9
2012,10,14.2,8,88.4,    85.6
2012,11,11,4.6,71.8,    75.4
2012,12,9,2.6,95.8,    58.0
2013,1,6.5,2,50.1,    34.5
2013,2,6.7,1.2,32.8,    64.9
2013,3,6.9,1.2,52.8,    62.3
2013,4,13.5,4.7,34,   162.8
2013,5,16.4,7.7,41.8,   163.3
2013,6,20.3,11.2,11.6,   157.5
2013,7,27,15.2,25.2,   268.2
2013,8,24.3,14.3,32.6,   198.7
2013,9,19.7,11.1,49.6,   118.9
2013,10,17,10.6,81.4,    89.6
2013,11,10.4,4.7,50,    80.4
2013,12,10.2,3.5,98.2,    51.3
2014,1,10,3.8,162.4,    68.3
2014,2,10.6,4.4,89.8,    91.7
2014,3,14.1,4.4,27.8,   161.4
2014,4,16.1,7.5,58,   156.9
2014,5,18,9.8,84.6,   178.8
2014,6,22.1,12.5,40.8,   220.2
2014,7,25.8,15,50,   246.4
2014,8,21.7,12.7,97.6,   183.6
2014,9,21.5,12.8,10.8,   134.6
2014,10,17.6,11,76,   103.8
2014,11,12.5,6.9,128.4,    51.1
2014,12,9.2,3,37.8,    71.6
2015,1,8.8,1.6,63.4,    62.0
2015,2,8,1.8,38.6,    63.9
2015,3,11.6,4.1,24,   140.7
2015,4,16.3,6,16.2,   212.1
2015,5,17.6,8.8,41.6,   189.0
2015,6,22.2,11.4,12.2,   197.0
2015,7,23.7,13.8,71.8,   189.7
2015,8,22.2,14.1,116.8,   134.1
2015,9,18.6,10.2,50,   162.3
2015,10,15.8,9.3,39.8,    94.2
2015,11,13.4,8,48.2,    27.7
2015,12,13.7,8.9,39.4,    35.0
2016,1,9.5,3,74.8,    54.8
2016,2,9.4,2.9,43.8,    86.8
2016,3,10.7,3.2,72.8,   123.3
2016,4,13.5,4.9,47.2,   170.0
2016,5,19,9.7,60.4,   192.7
2016,6,20.7,12.7,93.4,   101.7
2016,7,24,14.5,16,   182.8
2016,8,24.7,14.6,21.6,   201.4
2016,9,22.4,13.7,42.2,   122.1
2016,10,15.9,8.7,21.6,   105.6
2016,11,10.5,3.8,86.4,    77.4
2016,12,10.2,3.4,10.4,    55.1
2017,1,7.6,0.7,60.2,    64.5
2017,2,10,4.4,38.2,    47.8
2017,3,14.1,6.6,25.8,   116.3
2017,4,15.8,5.9,4.6,   186.2
2017,5,19.8,10.4,64.8,   164.8
2017,6,24,13.9,46.4,   204.3
2017,7,23.8,14.9,90,   178.0
2017,8,22,13.5,58.6,   174.9
2017,9,19.2,11,59,   120.1
2017,10,17.1,10.3,9.2,    84.6
2017,11,11.1,4.5,34.2,    66.7
2017,12,8.7,2.9,81.2,    43.8
2018,1,9.7,3.8,58,    46.5
2018,2,6.7,0.6,29,    92.0
2018,3,9.8,3,81.2,    70.3
2018,4,15.5,7.9,65.2,   113.4
2018,5,20.8,9.8,58.4,   248.3
2018,6,24.2,13.1,0.4,   234.5
2018,7,28.3,16.4,14.8,   272.5
2018,8,24.5,14.5,48.2,   182.1
2018,9,20.9,11,29.4,   195.0
2018,10,16.5,8.5,61,   137.0
2018,11,12.2,5.8,73.8,    72.9
2018,12,10.7,5.2,60.6,    40.3
2019,1,7.6,2,33.2,    56.4
2019,2,12.4,3.3,34.2,   120.2
2019,3,13.1,5.8,49.6,   119.0
2019,4,15.8,5.7,12.8,   170.1
