year,北京市,天津市,河北省,山西省,内蒙古自治区,辽宁省,吉林省,黑龙江省,上海市,江苏省,浙江省,安徽省,福建省,江西省,山东省,河南省,湖北省,湖南省,广东省,广西壮族自治区,海南省,重庆市,四川省,贵州省,云南省,西藏自治区,陕西省,甘肃省,青海省,宁夏回族自治区,新疆维吾尔自治区
2019,35371.28,14104.28,35104.52,17026.68,17212.53,24909.45,11726.82,13612.68,38155.32,99631.52,62351.74,37113.98,42395.0,24757.5,71067.53,54259.2,45828.31,39752.12,107671.07,21237.14,5308.93,23605.77,46615.82,16769.34,23223.75,1697.82,25793.17,8718.3,2965.95,3748.48,13597.11
2018,33105.97,13362.92,32494.61,15958.13,16140.76,23510.54,11253.81,12846.48,36011.82,93207.55,58002.84,34010.91,38687.77,22716.51,66648.87,49935.9,42021.95,36329.68,99945.22,19627.81,4910.69,21588.8,42902.1,15353.21,20880.63,1548.39,23941.88,8104.07,2748.0,3510.21,12809.39
2017,28014.94,18549.19,34016.32,15528.42,16096.21,23409.24,14944.53,15902.68,30632.99,85869.76,51768.26,27018.0,32182.09,20006.31,72634.15,44552.83,35478.09,33902.96,89705.23,18523.26,4462.54,19424.73,36980.22,13540.83,16376.34,1310.92,21898.81,7459.9,2624.83,3443.56,10881.96
2016,25669.13,17885.39,32070.45,13050.41,18128.1,22246.9,14776.8,15386.09,28178.65,77388.28,47251.36,24407.62,28810.58,18499.0,68024.49,40471.79,32665.38,31551.37,80854.91,18317.64,4053.2,17740.59,32934.54,11776.73,14788.42,1151.41,19399.59,7200.37,2572.49,3168.59,9649.7
2015,23014.59,16538.19,29806.11,12766.49,17831.51,28669.02,14063.13,15083.67,25123.45,70116.38,42886.49,22005.63,25979.82,16723.78,63002.33,37002.16,29550.19,28902.21,72812.55,16803.12,3702.76,15717.27,30053.1,10502.56,13619.17,1026.39,18021.86,6790.32,2417.05,2911.77,9324.8
2014,21330.83,15726.93,29421.15,12761.49,17770.19,28626.58,13803.14,15039.38,23567.7,65088.32,40173.03,20848.75,24055.76,15714.63,59426.59,34938.24,27379.22,27037.32,67809.85,15672.89,3500.72,14262.6,28536.66,9266.39,12814.59,920.83,17689.94,6836.82,2303.32,2752.1,9273.46
2013,19800.81,14442.01,28442.95,12665.25,16916.5,27213.22,13046.4,14454.91,21818.15,59753.37,37756.59,19229.34,21868.49,14410.19,55230.32,32191.3,24791.83,24621.67,62474.79,14449.9,3177.56,12783.26,26392.07,8086.86,11832.31,815.67,16205.45,6330.69,2122.06,2577.57,8443.84
2012,17879.4,12893.88,26575.01,12112.83,15880.58,24846.43,11939.24,13691.58,20181.72,54058.22,34665.33,17212.05,19701.78,12948.88,50013.24,29599.31,22250.45,22154.23,57067.92,13035.1,2855.54,11409.6,23872.8,6852.2,10309.47,701.03,14453.68,5650.2,1893.54,2341.29,7505.31
2011,16251.93,11307.28,24515.76,11237.55,14359.88,22226.7,10568.83,12582.0,19195.69,49110.27,32318.85,15300.65,17560.18,11702.82,45361.85,26931.03,19632.26,19669.56,53210.28,11720.87,2522.66,10011.37,21026.68,5701.84,8893.12,605.83,12512.3,5020.37,1670.44,2102.21,6610.05
2010,14113.58,9224.46,20394.26,9200.86,11672.0,18457.27,8667.58,10368.6,17165.98,41425.48,27722.31,12359.33,14737.12,9451.26,39169.92,23092.36,15967.61,16037.96,46013.06,9569.85,2064.5,7925.58,17185.48,4602.16,7224.18,507.46,10123.48,4120.75,1350.43,1689.65,5437.47
2009,12153.03,7521.85,17235.48,7358.31,9740.25,15212.49,7278.75,8587.0,15046.45,34457.3,22990.35,10062.82,12236.53,7655.18,33896.65,19480.46,12961.1,13059.69,39482.56,7759.16,1654.21,6530.01,14151.28,3912.68,6169.75,441.36,8169.8,3387.56,1081.27,1353.31,4277.05
2008,11115.0,6719.01,16011.97,7315.4,8496.2,13668.58,6426.1,8314.37,14069.86,30981.98,21462.69,8851.66,10823.01,6971.05,30933.28,18018.53,11328.92,11555.0,36796.71,7021.0,1503.06,5793.66,12601.23,3561.56,5692.12,394.85,7314.58,3166.82,1018.62,1203.92,4183.21
2007,9846.81,5252.76,13607.32,6024.45,6423.18,11164.3,5284.69,7104.0,12494.01,26018.48,18753.73,7360.92,9248.53,5800.25,25776.91,15012.46,9333.4,9439.6,31777.01,5823.41,1254.17,4676.13,10562.39,2884.11,4772.52,341.43,5757.29,2703.98,797.35,919.11,3523.16
2006,8117.78,4462.74,11467.6,4878.61,4944.25,9304.52,4275.12,6211.8,10572.24,21742.05,15718.47,6112.5,7583.85,4820.53,21900.19,12362.79,7617.47,7688.67,26587.76,4746.16,1065.67,3907.23,8690.24,2338.98,3988.14,290.76,4743.61,2277.35,648.5,725.9,3045.26
2005,6969.52,3905.64,10012.11,4230.53,3905.03,8047.26,3620.27,5513.7,9247.66,18598.69,13417.68,5350.17,6554.69,4056.76,18366.87,10587.42,6590.19,6596.1,22557.37,3984.1,918.75,3467.72,7385.1,2005.42,3462.73,248.8,3933.72,1933.98,543.32,612.61,2604.19
2004,6033.21,3110.97,8477.63,3571.37,3041.07,6672.0,3122.01,4750.6,8072.83,15003.6,11648.7,4759.3,5763.35,3456.7,15021.84,8553.79,5633.24,5641.94,18864.62,3433.5,819.66,3034.58,6379.63,1677.8,3081.91,220.34,3175.58,1688.49,466.1,537.11,2209.09
2003,5007.21,2578.03,6921.29,2855.23,2388.38,6002.54,2662.08,4057.4,6694.23,12442.87,9705.02,3923.11,4983.67,2807.41,12078.15,6867.7,4757.45,4659.99,15844.64,2821.11,713.96,2555.72,5333.09,1426.34,2556.02,185.09,2587.72,1399.83,390.2,445.36,1886.35
2002,4315.0,2150.76,6018.28,2324.8,1940.94,5458.22,2348.54,3637.2,5741.03,10606.85,8003.67,3519.72,4467.55,2450.48,10275.5,6035.48,4212.82,4151.54,13502.42,2523.73,642.73,2232.86,4725.01,1243.43,2312.82,162.04,2253.39,1232.03,340.65,377.16,1612.65
2001,3707.96,1919.09,5516.76,2029.53,1713.81,5033.08,2120.35,3390.1,5210.12,9456.84,6898.34,3246.71,4072.85,2175.68,9195.04,5533.01,3880.53,3831.9,12039.25,2279.34,579.17,1976.86,4293.49,1133.27,2138.31,139.16,2010.62,1125.37,300.13,337.44,1491.6
2000,3161.66,1701.88,5043.96,1845.72,1539.12,4669.06,1951.51,3151.4,4771.17,8553.69,6141.03,2902.09,3764.54,2003.07,8337.47,5052.99,3545.39,3551.49,10741.25,2080.04,526.82,1791.0,3928.2,1029.92,2011.19,117.8,1804.0,1052.88,263.68,295.02,1363.56
