content,creationTime,imageCount,days
送货速度比很快，包装完好无损，非常满意，体验超级棒，玩儿游戏很嗨，就是游戏贵的吓人。还有玩儿大型3D游戏时机身很热，热风吹得也吓人。,2019-09-10 17:23:07,8,6
买来一段时间了，送给老公的，他一有空就玩，看来很喜欢，画质很清楚，链接也很方便，看中的就是国行有保修，玩起来应该都是一样的，准备入手双人的游戏，和老公一起玩，天天看着他玩自己很闹心的有没有，不如一起玩耍，手柄当初酒买了两个，准备一起玩耍的,2019-10-10 10:47:39,1,28
一直纠结xbox天蝎和ps4pro，因为索尼独占游戏个人比较喜欢，我是去实体店体验了一下，最后决定买去这个，送两张光碟，游戏绝对值得玩，自己又购买了地平线数字版。第一次购买电视游戏机，手柄操作很容易上手，体验感超棒。家里电视性能有限，不过画质已经足够了，虽然ps5明年上市，目前4Pro还是非常值得入手的，玩个三年等5成熟再入手。,2019-09-13 17:09:46,,5
心仪很久，终于剁手！正好赶上ps4store打折，狂买游戏，果然是次世代主机，就一个字：爽！连显示器不过瘾晚上接投影！120寸打奎爷怎一个爽字了得！媳妇都抢着打瑞奇和叮当！轮不上我玩了！,2019-06-17 23:39:29,6,5
挺好的，包装给力，物流一天就到了，机子很好上手，连两根线就立即开始游戏了，ps4的游戏就是过瘾，本人喜欢玩单机游戏，ps4简直是福音。家65寸的电视玩起来视觉效果真赞，音响画面配套起来棒棒的，玩荒野大镖客简直是在参与一部漫长的电影，晚上在沙发上躺着玩，感觉自己就像进入了西部时代,2019-10-07 10:07:38,3,3
京东自营的送货速度自然不用多说，就是一个字&ldquo;非常快&rdquo;！头天晚上拍下，第二天一大早收到，出乎意料之外好大一个礼包的盒子，包装我给满分！话不多说逐一拆开，两张正版游戏盘和主机X1+一个原装手柄，手柄手感真是非常完美，原装的就是原装的！晚上回家后第一时间测试主机和游戏，完全没问题，无论是效果和速度那真是牛啊，嗷嗷清晰！,2019-09-19 20:15:11,4,2
"包装保护的很好，物流迅速。
主机锐角设计很凌厉，配上小圆点电源键挺秀气。
外壳是磨砂哑光的塑料，给人结实耐用低调的感觉。
主机设计确实优秀。
手柄震动反馈挺到位，应该是双振子，配上呼吸灯效果非常棒。
发热，噪音都可以接受，游戏质量相当高。",2018-11-06 00:21:21,4,5
ps4silm再次显示了索尼的强大工业设计功力，不仅主机小了，也更安静了，而且手柄也升级了，在运行时，极其的安静，还有新的led电源灯，可以直观的看到机器的运行情况，如果显示屏没有4k，我建议还是买silm版，性价比高，嗯，就这样了，哈哈哈哈哈哈哈哈哈哈,2019-09-20 18:19:56,3,52
全新没拆封过的机子，包装得很好，机箱没有任何损坏，玩了两个游戏，pro画质真心好，搭配索尼电视直接起飞，索尼大法好，入坑继续买游戏碟去,2018-12-30 03:52:09,8,3
不错不错，买回来就玩了一波，先注册了中国大陆账号，结果游戏商店只有几十个游戏，后来注册了中国香港特别行政区账号，游戏几千个，爽啊。,2019-09-12 05:46:38,1,1
质量都很好。还送了很多游戏。 玩的不亦乐乎。游戏手柄很有质感。 除可黑色 还特意又买了一个金色。跟高大上的感觉。快递也很速度。 包装很好。很完整。没有损坏  总之很愉快的一次购物。开心。开心。开心。,2019-09-26 01:57:04,3,28
快三十了，人生的第一台电视游戏主机，相比小时候玩的小霸王不论外观还是游戏都真的非常高端，科技的魅力，索尼大法好。拍的双手柄套装竟然分开发货，那么大一个玩意，京东还是一如既往的一个塑料袋套住完事，相比，隔壁天。。。猫家的那包装真的很严实。17年买的超薄小米电视4完美支持pro，毕竟pro也是伪4K来的。,2018-12-16 09:21:25,4,6
一直想要白色的可惜没货。外观设计没什么好说的很漂亮，非常经典。目前使用没任何问题，画面表现非常棒，噪音也很低，用一段时间再来追评。京东的产品还是有保障，特别是自营。,2018-12-14 08:22:53,3,13
终于还是升级了，白色颜值不错，性能确实有提升，特别是帧数稳定很多，而且比slim高，画面也有提升，更何况刚买就有好消息，非常满意,2018-12-22 00:53:27,6,2
太香了，心心念念的PS4终于入手了。收到货之后很开心，京东的快递只是简单的给包装盒外包了一层塑料纸，心可真大呀。还好东西完整没有摔伤。之前一直纠结要买PS4还是买微软，后来自己做功课感觉索尼大法上的游戏大作很多就入手了。买了几款数字版的游戏，美美的。不过游戏的价格确实挺高的，看来以后得买光盘玩完回血了。,2019-10-04 22:32:07,7,2
纠结了很久，到底要不要买，天天刷店铺，对比哪家便宜，最后还是选择和官方自营店，首先是售后有保障，而且官方自营的配送太快了，当天晚上定的，第二天上午就到了。到货后第一时间拆包装，交接电视，下载个游戏试试，画质果然没得说，性能很强大，现在在家玩ps，在外带着ns，简直爽的不要不要的,2019-09-20 13:49:09,3,2
据说是销量最好的pro套装，感觉比白色耐脏，所以果断黑色，也为这软7209专门配了65寸4k电视，画面做的太像真人了！细微处处理得非常用心，炫丽4K画质，爽爆了！,2019-08-02 09:57:50,4,1
快递速度真的很快头天晚上定的第二天一早就送到了，比想象的要薄，连接设置很简单，画面细腻鲜艳，操作反应速度很快。,2019-10-02 16:22:08,4,2
索尼大法好，心心念念很久的白色终于买回家了，以前用过黑色，游戏性性能没得说，白色感觉有一种信仰加成，玩起来的声音也没有其他人说的那么大，玩了往日不再和大表哥，感觉都是很不错的,2019-09-19 23:34:11,2,34
不得不说这个手剁得我心服口服，开机的体验顺滑的不要不要的，就是dog东的包装真的草率，就一层塑料纸。。。盒子完美，封条没问题，而且现在更新6.20版本畅游港服了，国行真的赞爆炸！质量也非常好，一次点亮，无杂音，散热也很好。大表哥玩后再补追评。,2018-12-30 21:04:35,3,1
物流极快，晚上你9点下单，第二天中午收到。包装比我想象的好多了，一个干净利整的大纸壳箱子里面堆了些气模，之前就做足功课，开箱拍了好多照片。机器完美，三码合一。美滋滋。,2019-03-09 10:37:17,2,3
第一台PS机子，质感很好，手柄很灵活，不多评价。重点说说备份港服的事，我是先在电脑上官网@PSN账号，地区可以直接选香港，@港服账号，国服机器开机设置，用@好的直接登录，就进了港服。网上一些方法感觉没必要。,2019-01-05 13:00:53,4,2
9月26下单27号就到货，京东快递这速度也没谁了，全新机，国行的使用了几天才来评价，不错安装简单，玩起来很流畅，手柄手感很好，刚开始搞时不会设置，慢慢摸索后其实也挺简单的，总之一句话非常棒，非常满意,2019-10-01 13:51:28,3,4
上午下单下午到货，京东物流一直是我最满意的，说说机器不错风扇声音很小，运行大作时候流畅，淘汰了陪伴我三年多的老款ps4，玩ps主机很久了，从九几年开始玩ps1至今，玩过无数游戏，总之不错，喜欢。好了，继续我的往日不在！迪肯,2019-05-29 01:01:03,3,2
"给老公买的生日礼物，他很喜欢白色。
最近准备买几个游戏，开始玩起来。去年生日买了任天堂，如果考虑入手任天堂还是ps4的朋友，直接ps4吧，效果更好。但任天堂便携。",2019-08-29 18:04:49,3,4
给男朋友买的，他很喜欢！操作简单方便，配上自己买的显示屏，音响和游戏碟，够玩年了。,2019-01-07 10:33:18,1,5
心心念念的很久的主机，国行机解锁很方便，已试玩，非常好，跟自家电视也配合非常好,2019-04-04 14:00:38,3,43
期待了很久还是剁手了。京东物流一如既往地快，第二天就送到了。ps4没毛病，三码合一，玩起来风扇声音基本很安静，玩游戏还是很嗨的，很推荐,2019-09-13 09:03:02,3,6
期待好久的游戏机，还是追求画质和手柄的体验，现在游戏也多了，有很多中文的，白色的很漂亮，还没玩。,2019-01-26 08:50:32,3,6
收到便开箱使用了，购买的碟子还没到，注册泄服下了几试玩版，画面优秀，很好玩。非常满意。,2019-02-23 23:36:11,1,2
昨天下午下的单，今天上午就到货了、打开一看全新主机、封条很完整，包装也很到位！单买的手柄光盘也很棒！晚上回家立马插上机器按照说明操作、直接就可以玩了、非常棒！画面音效都很nice，手柄带声音和震动、手感很棒！客服也很有耐心、就是还没备份、先玩着刚买的光盘、后续再研究，总之非常好的一次购物！,2019-05-09 20:59:55,9,1
机子很好，手柄拿起来手感也很好。唯一不足的就是刚刚开机的时候，不到十分钟就热了，不知道这是正常现象吗？送货也很快，两天就到了。态度也很好，就喜欢这种厂家，好评。,2019-01-29 09:03:15,1,3
很好(??)的游戏机，很喜欢，正在摸索中，操作简单，做工精良。下载个游戏试试,2019-09-02 11:26:06,6,1
很快，1天就到了，开箱使用后很好，很流畅，比ps4快多了，系统是最新的，省的麻烦了，黑科技很厉害,2019-03-02 10:47:40,2,7
终于买到心仪的ps4主机了，开机，装盘，开打，超级赞。机器很好，白色很漂亮~《战神4》耍起来~,2018-12-10 11:52:47,4,2
四公主，小时候的梦想，现在才入，也不算晚，游戏多了，机器也便宜了，不亏的。白色机子真心好看，玩起来太爽了！,2018-12-24 14:12:56,4,9
完全没有包装方面的担心，有个大箱子，没有破损，满意度十足，第一个主机十分激动，先体验一下,2019-08-24 19:48:34,2,3
"买的套装，小小大星球加ps4pro 1T 2600出头拿下的，想玩就买吧，P5天下第一！！！又买了弹丸论破3玩，美滋滋。

外接的显示器，客服说pro可以通过光纤音频线连接音箱，明天试试。解锁港服很方便，顺便求一波港服好友。",2019-06-02 20:14:12,9,1
"没等双十一，直接入手了，京东物流很快，晚上下单，第二天下午到手。拿到手时很激动，想了很久的ps4 pro终于纳入麾下了，哈哈。
看到包装里的耳机很纳闷，为什么是单耳的？很奇怪的设计，期待这台机子的表现！",2019-10-13 14:19:02,3,4
店里现在真的更新了包装，那么大个箱子，里面还有很多气垫，箱子完好无损，封条也在，放心了，之前看到评论区的差评还差点换店买了，机器绝赞，跟我朋友之前那个一模一样，玩神海4体验极好,2018-12-04 18:27:50,4,1
"收到货了，物流非常快，机子也是全新正品。已经开始安装游戏了，质量非常好，与卖家描述的完全一致，非常满意,真的很喜欢，完全超出期望值，发货速度非常快，包装非常仔细、严实，物流公司服务态度很好，运送速度很快，很满意的一次购物",2019-04-27 15:45:08,1,1
非常棒，全新，而且用了一个外纸箱包装了一下，之前一直担心裸机箱就送过来了。买之前一直想买港版的机子，拿到国行后才发现备份港服很简单，自己@账号，然后~4元就备份好了，国服港服切换也很方便?。玩的时候的确会忘记时间，昨晚刚下班打开p5就开玩了，休息喝口水一看时间零点半了，哈哈?，p5天下第一！?,2018-12-14 20:47:54,4,5
长草很久，终于购入。外观设计没什么好说的，非常经典了，入了几个亲子游戏，和孩子一起玩，也算是圆了自己少年时的一个梦吧。,2018-12-07 10:49:41,1,4
情怀大于游戏，圆了小时候一个梦想，很精致，买来后就摆那里看，都没开机，人真怪&hellip;,2018-12-27 01:34:27,3,15
物流很给力，宝贝很漂亮，很快就到手了，一到手就迫不及待的玩了起来。期待以久，很好玩的游戏。找了好久，终于下定决心买了，果然没让我失望。以后还会来光顾你家，好店铺好宝贝，也会介绍朋友来。,2019-01-28 21:22:02,6,5
玩了三天了，哈哈，太爽了，包装很好，未开封，拿了个原箱装,2019-08-04 15:38:02,1,2
"怎么说呢，因为我是接的电脑显示器的。遇到各种麻烦，其次国服机子游戏少的一匹，通过备份才能玩到游戏大作。
  机子是没问题，物流也很快，刚买隔天就到。非常满意的一次购物。",2018-11-21 12:24:05,0,5
用了一阵子了，孩子很喜欢玩，已经不怎么玩手机了，而且玩小小大星球还能两个人合作，挺好的，质量好,2019-02-14 13:18:30,1,22
游戏机质感非常好，到货速度也快，试玩一下，画质简直太棒了，儿子特别喜欢。,2019-04-23 07:24:41,2,5
"姐姐给姐夫买的礼物，听说一到手就玩的不亦说乎，对于一个电子产品的忠实爱好者，一台相机，一台ps/Xbox，一台外星人，绝对是一个男生的追求！物流不需要说，我觉得买自营产品，京东的速度就是无与伦比，目前而言，东西没有问题，先用一段时间再来追评。可惜没有送游戏，否则更棒了
！",2019-08-22 23:35:37,1,2
想玩很久了，终于买了，老男人标配。很满意，买了个大表哥和2k先玩着，和电脑玩体验完全不一样，比女朋友好玩?，索尼大法好！,2019-08-13 19:15:36,7,10
机器全新原装很赞，京东物流很快，隔天就到货了，自营也比较有保障。PS4画面很棒，还有满满的大作，美中不足的是，21号出了蜘蛛侠限量，早知道晚点买了,2019-01-02 22:17:49,3,25
国行6.2版本的PS4实在太给力了。连备份解锁都帮玩家省了，一键解锁太牛了。新机运行平稳安静，游戏碟未到，机子先到了，无奈直接解锁上PSN港服下载游戏先玩起来了。多年前玩PS2的感觉又回来了。不过这次我支持的是国行。感觉以后港版没竞争力了。大家支持国行！,2018-12-30 11:33:20,1,1
关注了很久，终于入手了这款ps4。小时候最梦寐以求的是小霸王游戏机，现在升级成了ps4。收到之后立马备份了港服账号顺利登陆，结果居然没什么能玩的免费游戏。一搜索才发现ps4上的游戏真不便宜，一个游戏都要几百块。推荐购买一个港服会员，这样每个月都会有两款游戏大作可以免费玩，还可以进入光盘版本游戏的多人模式，这个月已经下载了免费的底特律变人，游戏画质真的很好，流畅度也让人满意。,2019-07-04 21:45:59,4,27
虽然据说明年PS5就要上市了，但是考虑到上市初期游戏肯定跟不上，所以还是出手买了PS4&hellip;&hellip;京东送货很快，因为是高价值商品，还有一个收货码，安全保障还是不错的，而且现在还有一点小优惠。接上电源和HDMI的数据连接线就能玩了，光盘安装游戏也很方便。茶余饭后消磨时光真心不错～,2019-08-06 14:06:08,1,8
忘记评价了 sony售后十分给力 网络优化 不吹不黑 sony比xbox狠 网线直连港服未使用加速器 速度杠杠的,2019-09-10 21:50:15,3,42
机器完好无损 运行流畅 画面我就不多说了 是低版本根本比不了的 2T版本 哈哈哈哈哈哈哈哈 畅享无限真的是 安排上了,2019-01-08 09:42:44,1,5
正品，而且很好，直接用按键大法解锁港服务器，玩的很爽，当天就完了美国末日，爽爽爽,2019-05-22 15:14:45,9,5
很激动，玩起来很爽，圆了我有一台游戏机的梦想！索尼的电视配ps4更加带劲！爱不释手啊！,2019-03-03 08:52:28,7,8
八角尖尖，简直完美。第一次入手主机，完全没想到，手柄和主机是分开在两边装的。,2019-05-13 06:32:11,5,4
犹豫了好久，加到购物车里面也好久，发现价格基本没啥变化，算了，不等到双十一了，这会就买了吧，买回来以后整体感觉还行，我之前在港服已经注册好了账号，直接登录后就转到港服了，非常方便，充了个会员，在网上看了看貌似会员涨价了，还错了12+3的这个活动，闹心啊，下载数字版游戏真心好慢好慢，不得不又买了几张光盘，话说游戏真贵啊，这会一直在下载，啥也没玩上，耐心等待了，客服很不错，很多问题都耐心解答，其他的问题没有发现，等有必要可以追评。,2019-10-05 16:28:57,1,1
送o老爸的生日Y物！我第一次老爸玩的[蚴VR特警之後是死亡鬼屋、帝r代、要塞、魔F霸、su渍隆⑹姑召尽bIw。m然很久]有到老爸打[蛄耍但是知道老爸是打心底非常喜g的。送o老爸，和老爸ΥUFC，希望老爸快贰,2019-01-20 10:34:04,0,11
PC玩家，专门买来玩GTSPORT和驾驶俱乐部的，两个ps4独占赛车游戏质量真好，打开了新世界的大门。现在门都不出了一直在家玩赛车，GTSPORT比极限竞速7好太多,2019-06-25 14:04:27,3,13
已经开始使用，很好用，符合预期，很流畅，只是没有买到有优惠的挺可惜的，不错不错不错,2019-03-11 22:25:12,2,12
给老公买的，老公很喜欢，里面的游戏需要下载，画面好，这个接电视安装方便，赞赞赞赞。,2019-09-22 16:58:09,1,1
真不错，刚好遇到降价，直接入手，完了刺客信条奥德赛，和地平线，太满意了。,2018-12-29 23:47:31,1,5
第一次接触p4晚上半夜下单第二天上午就到这速度是无敌的  同样  无敌的保鲜膜  晚上回家按照说明操作安装很棒 另外有没有朋友推荐几款入门级操作别太复杂的游戏,2019-02-24 14:07:11,1,2
异地调货速度还可以，pro的性能没话说，玩大表哥和怪物猎人很流畅，白色的机器看着也比黑色的好看。,2019-02-04 07:37:02,1,14
机子的包装箱有点夸张，大的可以放下一台老式电视机，ps4是国行正品，很满意！网上请人@了港服，下载免费游戏飞快，另外大家下载个手机版的索尼游戏客户端可以控制ps4与psn非常方便！,2018-12-17 09:54:16,5,4
目前用起来没问题，画面表现也很棒，无噪音，用一段时间再来追加评价，发热不明显，京东的产品还是有保障的，只限自营,2018-12-02 12:50:12,1,2
上一次买的是港版，这次特意买一个国行试试。游戏非常不错，是一个很好的游戏机，有很多大型游戏比电脑游戏要方便多了，电脑的游戏，价格非常好贵，主要是硬件的价格贵，这一个买了就可以直接玩，非常便宜。,2018-12-25 07:35:39,3,3
买来送给男朋友的   刚备份了港服  应该是我们家的网络不行  进游戏什么的比较慢  玩了一款游戏 视听感觉超棒,2018-12-23 20:09:40,1,3
非常完美，搭配大法电视效果没得说，虽说明年要出5，但是估计暂时也用不到，这个很不错,2019-08-24 17:52:48,2,31
送给男票的，每个男人心里都住着一个小男孩，玩起游戏来孩子一样开心，偶尔两人一起娱乐一下也很棒。用起来目前没任何问题，内存配置什么的也不太懂，盲选总之买贵的就对了,2019-01-05 15:36:16,1,8
机器很好，2019年生产的，丝滑的操作系统，舒服的手柄，索尼大法好,2019-09-28 20:53:54,2,1
"东西收到了，物流很快，包装也太简陋了，
两个密封条是完整的，没被拆封过，自己拆完手柄和主机上有白色的碎末，不是很舒服&hellip;还没玩，等晚上回去试试",2019-02-26 15:49:29,2,1
索尼大法好！这个时候买ps4 pro真的不亏，游戏比起刚出来的时候多多了，而且优化很好！比较可惜的是刚买没多久就出了新年活动，一样的价格还送两个游戏。,2019-02-11 23:14:23,2,41
玩了一个周末了，很喜欢，现在用的还是国服，地平线和最终幻想15都在打折，不喜欢联网游戏，玩单机游戏还没太大负担。,2018-12-11 18:16:24,2,5
快递很快，隔天到，京东快递名不虚传，ps4玩起来也是很爽，声音也很小，游戏优化的也很好，基本不卡顿,2019-03-30 13:54:21,1,3
索尼（SONY）PS4 Slim 家庭娱乐游戏机 500G主机（黑色），手感很好，感觉不错。,2019-06-05 20:32:10,1,3
大法必须锤爆啊！画质很好很流畅，但堡垒之夜就比ns版清晰了好几个度呢。手柄震动起来很带感，真HD。,2018-12-09 23:39:23,3,7
包装完好，快递给力，通过设定完美登录港服！充了个一年会员正在下载游戏，没的说，杠杠滴！,2019-01-04 12:58:16,3,1
非常好，全新机器，机器散热好，运行声音小。不多说了，开玩！！,2019-05-03 17:03:16,0,1
非常棒，享受到了索尼大法的娱乐性，下单后十小时就收到货了，给物流点赞。白色很好看，双手柄套餐很实惠，游戏机除了无线下载有些慢，整体非常不错，好玩的游戏千千万，我要开始慢慢探索了。,2019-06-13 16:09:31,6,12
初步看来没什么问题，商店游戏挺多的。机子看起来非常炫酷。很棒。最近玩的不亦乐乎。,2019-08-30 15:54:22,1,15
终于买到了心仪很久的四公主，把玩在手里，爱不释手，看着它不玩都是种享受，哈哈哈?,2018-12-20 19:58:33,6,8
很好很喜欢，东西是全新的 虽然不是最便宜的时候买的！但是一分钱一分货  有电子发票 非常满意,2019-08-24 07:44:35,2,11
暑假买的slim，之前担心游戏机吃灰，switch就吃灰了，ps4还是很满意的，值得购买。,2018-12-18 22:19:48,1,20
除了没有做包装保护外，其他都很好，物流速度很快，卖家很效率，晚上回家试试感觉 哈哈 真是心心念念的啊,2018-12-07 16:46:38,1,1
东西到得很快，开箱完好无损，东西好是一定的了，索尼出品嘛，现在充电，做好准备，等待碟片到达,2018-12-21 21:38:44,2,1
