hotelname,place,price
成都环球中心天堂洲际大饭店 ,高新区 ，距离锦城广场地铁站340m,941
成都华尔道夫酒店 ,高新区 ，距离金融城地铁站515m,1431
成都尼依格罗酒店 ,春熙路 ，距离伊势丹290m,1585
成都博舍酒店 ,春熙路 ，距离东门大桥地铁站460m,5117
成都世纪城天堂洲际大饭店 ,高新区 ，距离世纪城地铁站600m,1420
成都春熙美居酒店 ,春熙路 ，距离蜀都大厦100m,490
成都希尔顿酒店 ,高新区 ，距离天府三街地铁站385m,868
格韵四季酒店(成都春熙路店天府广场店) ,青羊区 ，距离太升南路地铁站215m,248
成都富力丽思卡尔顿酒店 ,青羊区 ，距离骡马市地铁站500m,1520
成都万达瑞华酒店 ,盐市口 ，距离锦江宾馆地铁站485m,1065
青城山六善酒店 ,青城山 ，1km内无地铁站,2748
成都茂业JW万豪酒店 ,盐市口 ，距离新世界百货185m,1373
成都香格里拉大酒店 ,水锦界 ，距离合江亭公园225m,1208
成都领地希尔顿嘉悦里酒店 ,青羊区 ，距离天府广场140m,1113
成都协信中心希尔顿酒店 ,成华区 ，距离财富又一城420m,653
成都首座万豪酒店 ,高新区 ，距离金融城地铁站620m,1111
成都中心世茂睿选尚品酒店 ,春熙路 ，距离蜀都大厦185m,364
成都榛悦隆堡酒店 ,大慈寺 ，距离香槟广场410m,709
KAKU设计师高空公寓(星城都店) ,高笋塘 ，距离李家沱地铁站585m,237
瓦当瓦舍旅行酒店 ・ 成都春熙店 ,书院街 ，距离市二医院地铁站295m,665
成都青城豪生国际酒店 ,青城山 ，1km内无地铁站,763
成都瑞吉酒店 ,春熙路 ，距离蜀都大厦230m,1232
成都群光君悦酒店 ,春熙路 ，距离群光广场130m,1371
成都东大明宇豪雅饭店 ,九眼桥 ，距离东门大桥地铁站385m,778
Hi设计师酒店(成都春熙路店) ,春熙路 ，距离时代百盛260m,229
Atinn在・酒店 ,红牌楼 ，距离红牌楼地铁站820m,760
成都清居酒店(宽窄巷子骡马市店) ,骡马市 ，距离骡马市地铁站355m,178
VHotel精品酒店 ,高新区 ，距离成都南站6.0km,348
成都春熙亚朵S同道星座酒店 ,春熙路 ，距离时代百盛280m,461
成都背包十年青年旅舍 ,青羊区 ，距离骡马市地铁站495m,70
杭州开元森泊度假酒店 ,湘湖 ，距离杭州南站8.1km,1067
杭州西湖国宾馆 ,龙井/虎跑 ，距离西湖国宾馆105m,1428
杭州柏悦酒店 ,钱江新城 ，距离钱江路地铁站290m,1887
杭州西子湖四季酒店 ,龙井/虎跑 ，距离曲院风荷530m,5341
千岛湖洲际度假酒店 ,千岛湖风景区 ，1km内无地铁站,997
杭州泛海钓鱼台酒店 ,城东 ，距离市民中心130m,1111
杭州康莱德酒店 ,钱江新城 ，距离江锦路地铁站200m,1498
杭州洲际酒店 ,城东 ，距离市民中心265m,1254
杭州JW万豪酒店 ,湖墅南路 ，距离武林门地铁站585m,1029
杭州西湖美居酒店 ,庆春路沿线 ，距离娃哈哈美食城235m,504
法云安缦酒店 ,灵隐 ，距离杭州城站8.2km,5710
黄龙饭店 ,西湖北线/黄龙 ，距离黄龙世纪广场315m,976
杭州城中香格里拉大酒店 ,平海路 ，距离凤起路地铁站280m,1283
千岛湖梅地亚君澜度假酒店 ,千岛湖风景区 ，1km内无地铁站,909
杭州千岛湖滨江希尔顿度假酒店 ,千岛湖风景区 ，1km内无地铁站,716
浙江西子宾馆・汪庄 ,南山路 ，距离西子宾馆375m,1079
杭州富春开元芳草地乡村酒店 ,建德市其他 ，1km内无地铁站,710
千岛湖绿城度假酒店 ,千岛湖绿城度假公寓 ，1km内无地铁站,824
绿城千岛湖喜来登度假酒店 ,千岛湖绿城度假公寓 ，1km内无地铁站,903
未闻小筑民宿 ,灵隐 ，距离植物园1.7km,461
杭州西溪宾馆 ,西溪 ，距离杭州城站13.0km,889
茶墅・竹度假酒店 ,龙井/虎跑 ，距离杨公堤555m,338
杭州千岛湖开元度假村 ,千岛湖风景区 ，1km内无地铁站,549
杭州西湖柳莺里酒店 ,南山路 ，距离西子宾馆600m,1694
杭州西溪喜来登度假大酒店 ,西溪 ，距离西溪天堂300m,882
杭州钱江新城万豪酒店 ,钱江世纪城 ，距离江锦路地铁站490m,972
千岛湖绿城蓝湾度假酒店 ,千岛湖绿城度假公寓 ，1km内无地铁站,389
格雷斯精选酒店(杭州金沙湖店) ,下沙 ，距离下沙西地铁站1.1km,258
富春山居度假酒店 ,富阳区其他 ，1km内无地铁站,2783
杭州君悦酒店 ,湖滨 ，距离凯悦酒店100m,1626
武汉万达瑞华酒店 ,水果湖 ，距离楚河汉街地铁站595m,1884
武汉光谷希尔顿酒店 ,洪山区 ，距离武汉站8.9km,884
武汉世茂希尔顿酒店 ,腰路堤 ，距离拦江路地铁站665m,801
武汉光谷凯悦酒店 ,光谷/鲁巷 ，距离光谷大道地铁站130m,747
武汉富力万达嘉华酒店 ,水果湖 ，距离楚河汉街地铁站470m,895
武汉香格里拉大酒店 ,港澳台风情街 ，距离香港路地铁站315m,527
武汉富力威斯汀酒店 ,积玉桥 ，距离积玉桥地铁站415m,797
武汉洲际酒店 ,汉阳区 ，距离国博中心北地铁站660m,673
武汉江城明珠豪生大酒店 ,客运港/江滩 ，距离江滩505m,754
武汉马哥孛罗酒店 ,客运港/江滩 ，距离大智路地铁站1.1km,778
武汉汉口泛海喜来登酒店 ,汉口火车站 ，距离云飞路地铁站445m,781
路客Lotel武汉上海五号民国风情民宿(江汉路店) ,江汉路步行街 ，距离HAPPY站台310m,198
武汉东湖宾馆 ,水果湖 ，距离东湖景区405m,0
武汉丹枫白露酒店 ,解放公园 ，距离三阳路地铁站80m,607
武汉帝盛酒店 ,江汉路步行街 ，距离港澳中心35m,357
武汉晴川假日酒店 ,汉阳区 ，距离户部巷1.7km,825
纽宾凯鲁广国际酒店(武汉光谷广场店) ,光谷/鲁巷 ，距离光谷步行街535m,286
武汉万科君澜酒店 ,汉口火车站 ，距离长港路地铁站960m,680
武汉曲水兰亭度假酒店 ,余家头 ，距离铁机路地铁站420m,549
纽宾凯君缘酒店(武汉黄鹤楼户部巷店) ,司门口 ，距离户部巷410m,219
白玉兰酒店(武汉梅苑小区地铁站丁字桥店) ,石牌岭/街道口 ，距离梅苑小区地铁站710m,275
枫酒店(汉口火车站大武汉1911店) ,汉口火车站 ，距离唐家墩地铁站680m,276
武汉玉丰国际酒店 ,楚河汉街 ，距离楚河汉街地铁站255m,538
武汉华美达光谷大酒店 ,光谷/鲁巷 ，距离光谷广场地铁站50m,743
自如驿(江汉路店) ,江汉路步行街 ，距离港澳中心280m,80
武汉卡缪酒店 ,雄楚大道 ，距离杨家湾地铁站280m,454
武汉君宜王朝大饭店 ,广埠屯 ，距离群光广场370m,459
武汉联投半岛酒店 ,沌口 ，距离沌阳大道地铁站1.9km,623
武汉新世界酒店 ,宝丰 ，距离K1150m,739
汉美公馆艺术酒店(光谷广场杨家湾店) ,石牌岭/街道口 ，距离杨家湾地铁站280m,170
