text,label
云南永善县级地震已致人伤间民房受损中新网月日电据云南昭通市防震减灾局官方网站消息截至日时云南昭通永善县级地震已造成人受伤其中重伤人轻伤人已全部送医院救治民房受损户间倒塌户间个乡镇所学校不同程度受损目前被损毁电力交通通讯设施已全部抢通修复当地已调拨帐篷顶紧急转移万人月日时分云南昭通永善县发生里氏级地震震源深度公里当地震感强烈此外成都等四川多地也有明显震感,地震
四川蓬安县房屋瓦片被震落广西陕西震感强烈年月日月日时分四川汶川发生级地震时分新民网记者电话连线上海网友何女士何女士得知四川发生地震随即打电话给身处四川蓬安县徐家镇黄坪乡的父亲据何女士介绍蓬安县距此次地震的中心区域汶川县大约七八十公里当地很多电话无法拨通何女士引述其父亲的话说当地房屋出现明显震感房顶的瓦片被震落目前当地的村民不敢呆在家里都躲在平地处另有新民网广西网友留言称下午点半办公室晃动以为是地基出问题了急忙跑下楼楼下站满了人我从来没有感觉过地震我们是丘陵地带从来没有过地震我的位置在广西桂林电话联系南宁的朋友南宁也有地震陕西网友跟帖称陕西富平震感明显持续时间秒,地震
四川汶川强地震近万人丧生中国各界奋力救灾中新社北京五月十三日电综合消息截至北京时间十时北京时间五月十二日十四时二十八分四川汶川县发生七点八级地震本次四川地震震级高有感范围大波及宁夏甘肃陕西山西山东河南湖北湖南重庆贵州云南广西西藏江苏辽宁北京上海等地强震造成近万人丧生因此次四川地震震级高又属浅源性地震释放能量剧烈给当地民众生命财产造成巨大的伤害和损失据中国民政部统计截至十三日九时四川汶川县地震已造成四川甘肃陕西重庆云南山西贵州湖北八省市共九千二百余人死亡倒塌房屋五十余万间决策层分层布置确定救灾方针汶川地震发生后五月十二日晚中共中央政治局召开常委会议全面部署当前抗震救灾工作中共中央总书记胡锦涛主持会议决定成立抗震救灾总指挥部由温家宝任总指挥李克强回良玉任副总指挥全面负责当前的抗震救灾工作会议要求要立即组织人民解放军武警部队民兵预备役和医疗卫生人员尽快赶赴灾区全力抢救受伤人员要千方百计向灾区运送食品饮用水药品和帐篷防寒衣被等救灾物资确保灾区群众有饭吃有衣穿有干净水喝有临时住处要迅速组织力量抓紧抢修受损的设施和设备尽快恢复灾区的通路通电通信和供水解放军五万余人陆空开进灾区据中央电视台报道目前已有近两万解放军和武警官兵到达灾区开展救援另有二点四万名官兵紧急空运到重灾区还有一万名官兵通过铁路输送前往灾区实施应急救助三千名公安消防和特警也将紧急调往灾区中国国际救援队也已抵达灾区开始救援有关部委迅速开展抗震救灾汶川地震发生后国家有关部门立即行动起来开展抗震救灾工作中国民政部紧急调拨五千顶帐篷支援灾区民政部长李学举亲赴灾区协助指导抗震救灾工作卫生部组织十余支卫生应急队伍已启程赶赴灾区中国红十字会总会十二日紧急向灾区调拨五百余顶单帐篷二千五百床棉被等价值七十八万余元人民币的救灾物资全国总工会向灾区紧急拨款一百万元救灾慰问金解决受灾职工生产生活困难国际社会密切关注表示关切国际社会对四川汶川地震给予了极大关注多国政府首脑纷纷致电中国政府对死难者表示了深切哀悼联合国秘书长潘基文十二日晚致电中国外交部长杨洁篪代表联合国向中国地震死难者表沉痛哀悼表示联合国将全力支持中国的救灾和重建工作美国总统布什十二日发表声明向在四川地震中的死难者表示沉痛哀悼而美国也准备好协助中国政府救灾日本首相福田康夫十二日晚通过中国驻日本大使馆致电胡锦涛和温家宝向地震灾区表示慰问并表示准备尽力提供所需援助此外海外华侨华人已开始捐款捐物表示尽己之力帮助灾区民众抗震救灾,地震
四川发生级地震波及云南多个地区年月日中新社昆明月三十日电八记者甘娜刘子倩八月三十日十六时三十分四川省攀枝花市仁和区与四川省凉山彝族自治州会理县交界处发生六点一级地震云南省的楚雄昆明丽江大理等多个地区有强烈震感目前暂无人员伤亡报告云南省楚雄彝族自治州永仁县距震中仅八十九公里记者致电该县县委办公室据工作人员介绍该县震感极为强烈县委书记已赶到该县地震局开紧急会议永仁县目前已逐一给下辖的各乡镇打去电话要求从乡镇到居委会第一时间统计人员伤亡情况据一位值班官员介绍该县的村镇损失较为严重倒塌房屋较多而县城的一些砖墙倒塌房屋顶瓦片破损另据该县地震局相关人士透露由于手机通讯中断乡镇的统计数据仍无法进一步汇总此外云南省会昆明也有强烈震感许多市民冒雨走上街头通讯短暂中断现已恢复正常丽江市与四川省攀枝花市相邻较近的华坪和永胜两个县也有强烈震感截至记者发稿时还没有收到云南省人员伤亡的报告完,地震
四川攀枝花地震已部分房屋垮塌年月日新华网成都月日电记者肖林杨三军记者从攀枝花仁和区和凉山彝族自治州会理县了解到日时分在两地交界处发生的级地震已造成部分乡镇房屋垮塌扯裂尚未接到人员伤亡报告记者从仁和区委和会理县值班室电话联系获悉两地城区震感明显但无房屋倒塌震区人员已跑出住房当地政府正在组织抢险因地震造成通讯障碍当地大多乡镇仍然联系不上据仁和区委值班室值班人员介绍该区平地镇反映镇上已出现房屋倒塌扯裂现象没有接到人员伤亡报告其他乡镇一直打不进电话估计灾情较重的应是大龙潭乡和平地镇记者从攀枝花市仁和区有关部门了解到到时分当地至少发生二三次有明显震感的余震沿金沙江一带估计有房屋倒塌和人员伤亡当地重灾乡镇为大龙潭乡平地镇因电话不通仁和区委区政府领导已赶赴这两个乡镇区委所在地仁和镇暂未发现房屋倒塌和人员伤亡据会理县政府值班室人员介绍该县已联系上江竹乡该乡学校房屋在地震中扯裂其他乡镇也因通讯障碍无法联系上估计灾情会出现在沿金沙江的一些乡镇,地震
宁夏银川发生有感地震持续时间秒左右年月日今天时分宁夏回族自治区首府银川市发生有感地震震动时间持续秒左右时分左右记者在办公室里忽然觉得有震感以为发生错觉待抬头看悬挂着的日光灯时发现灯在晃动后发现水桶里的矿泉水也在晃动记者急忙跑到楼道此时的感觉就像楼在水中漂记者从四楼跑到楼下发现楼下已经站满了人大家都在议论刚才发生的地震与记者站邻近的一家学校已把所有学生全部疏散到空旷的场地此次有感地震震级多少震中在哪里目前尚未得知,地震
甘肃兰州震感明显年月日新华网兰州月日电受强烈地震影响日时分许兰州市区感受到明显震感市民纷纷走上街头避险学校等单位也立即疏散人群到安全场所避险大量停靠在路边的车辆受震动影响警报器纷纷响起手机通讯一度普遍受阻中广网消息今天下午时分记者正在写稿时电脑桌忽然摇曳起来紧接着房间的衣架也不停摇来摇去当记者站起身来时觉得整个房间呈由北向南摇摆后来感觉整座办公大楼也一样摇来摆去此时房间的写字台和书柜发出了吓人的咯吱咯吱的响声后来听见楼下院子里有人喊地震了地震了而这种摇曳大约至少持续了分钟时间据记者所知近期地震部门没有任何预报有关震级和震中等相关信息记者将前往地震部门作进一步了解,地震
尼加拉瓜太平洋沿岸发生级地震尼加拉瓜西南部太平洋沿岸日下午发生级地震目前人员伤亡和财产损失情况不明尼加拉瓜政府发言人罗萨里奥穆里略当天通过全国电视网络证实地震发生在当地时间日时分北京时间日时分震中位于西南部城市楠代梅附近距离首都马那瓜公里震源深度公里地震持续时间约秒马那瓜莱昂等多个城市震感非常强烈尼加拉瓜西北部日刚发生级地震及逾百次余震截至目前已导致人死亡多人受伤多间房屋遭受不同程度损坏尼总统奥尔特加日凌晨宣布该国进入紧急状态数千名震区内的危房住户被紧急转移当地所有学校停课主要商业设施关闭记者在首都街头看到地震发生后人们纷纷涌上街头和附近空地避险许多民众自日晚到现在一直没敢回家首都地区的许多住宅墙体开裂,地震
国家地震台网台湾高雄日时分发生级地震年月日新华社北京月日电据国家地震台网测定月日时分在台湾省高雄县北纬度东经度发生级地震,地震
四川地震对云南有一定影响部分地区房屋已出现倒损年月日新华网昆明月日电日四川发生地震后对云南的昭通等地造成一定影响部分房屋已出现倒损据云南省地震局监测预报处处长吴国华介绍当天四川地震震中距离云南昆明大约有公里距离滇东北与四川交界最近处有公里左右这次地震对昭通影响较大昆明的市民普遍有震感但没有太多影响记者在昭通市现场感觉到震感很强烈持续时间有几分钟记者了解到到当日时许昭通市尚未有人员伤亡报告据昭通市地震局局长徐家金介绍昭通震感非常强烈当时有的房屋左右晃动公园水池里的水被震荡起来有几分钟电话全部中断还有一些老房子已经垮了目前当地地震部门正在进行震情收集,地震
山西感到地震后很多人跑到户外空旷地带年月日新华网太原月日电记者滕军伟日时分左右太原市有明显震感市民纷纷跑到街上目前当地社会秩序已经恢复正常据记者电话向有关部门了解山西省临汾市运城市等地区也有明显震感太原市民能明显感到桌子家具剧烈晃动尤其是高层建筑晃动比较明显很多人跑到户外空旷地带据迎泽大街一家银行的工作人员介绍地震发生时人在地上有点站不稳许多人都跑到了大街上躲避据记者打电话给其他地市的亲友了解运城临汾等市也有明显震感群众情绪较为稳定,地震
新疆地震造成万余人受灾经济损失上千万天山网讯通讯员王金虎报道年月日时分秒我区和田地区于田县北纬东经发生级地震震源位于于田县与策勒县交界山区的阿羌乡普鲁村新疆维吾尔自治区党委副书记自治区主席努尔白克力对此次地震灾情和相关救灾工作做出重要批示要求各有关部门全力做好抗震救灾工作国家减灾中心民政部救灾司已对新疆地震灾区启动灾害四级响应并派救灾工作组赴灾区指导救灾工作灾情发生后和田地委行署高度重视立即启动救灾应急预案地委行署领导亲临灾区组织人员全力查灾救灾自治区民政厅已派出救灾工作组前往灾区经初步核查地震造成受灾人口户人倒塌房屋户间损坏房屋间倒塌畜棚个倒塌蔬菜大棚座直接经济损失万元于田县城南部公里阿羌乡普鲁村截止日点分普鲁村受灾人口户人倒塌房屋户间间房屋受到不同程度的损坏直接经济损失达万元策勒县山区四乡受灾户人倒塌房屋户间损坏房屋间倒塌畜棚个倒塌蔬菜大棚座直接经济损失万元洛浦县受灾户人损坏房屋间倒塌畜棚间直接经济损失万元据了解和田地区策勒县共有乡镇万人其中靠近于田震区有个山区乡个村共余人距离震区最近的博斯坦乡有人于田县共有个乡个镇个村共万人其中距离震区最近的阿羌乡有个村共人,地震
新西兰东北部海域发生级地震新华网惠灵顿月日电记者黄兴伟据美国地质勘探局地震信息网消息新西兰东北部海域日发生级地震地震未造成人员伤亡或财产损失地震发生在新西兰当地时间日晚时分北京时间时分震中位于新西兰莱斯佩朗斯礁东南方向公里处海域即新西兰北岛北部海滨城镇瓦卡塔尼东北公里处海域震源深度为公里位于夏威夷的太平洋海啸预警中心没有发布海啸警报,地震
月日时分辽宁省海城市发生级地震年月日据国家地震台网测定北京时间年月日时分在辽宁省海城市北纬度东经度发生级地震震源深度约公里震中距海城市区公里距鞍山市区公里距沈阳市区公里详细情况正在统计中,地震
日本福岛近海发生级地震不会引发海啸年月日中新网月日电据日本新闻网报道当地时间日时分左右日本福岛县近海发生级地震日本气象厅的地震速报称震源深公里最大震级为级受此地震影响福岛县部分地区的震级为级宫城县的震级为级本次地震不会引发海啸当地时间日凌晨点分左右日本福岛县近海曾发生级地震地震震源深公里受地震影响福岛县相马市和新地町的震级为级,地震
印度级强震数百人伤亡西藏亚东死伤年月日据印度媒体日报道印度北部锡金邦日时分北京时间时分发生里氏级地震震源深度约公里截至北京时间日晚些时候目前造成包括印度尼泊尔在内至少人死亡多人受伤伤亡数字还会增加报道说我国西藏自治区个县受影响其中亚东县受波及严重目前已有人死亡人受伤我国西藏自治区已经启动地震应急预案二级响应国家减灾委民政部于月日时分紧急启动国家四级救灾应急响应派出工作组赴灾区协助开展救灾工作据印度媒体报道锡金邦首府甘托克周边地区发生山体滑坡房屋倒塌已造成包括印度尼泊尔在内人死亡至少人受伤由于断电甘托克陷入一片黑暗手机信号和网络中断地震发生后又接连发生两次强烈余震,地震
智利级地震引发米高海啸多国发布预警中新网月日电据美国地质勘探局网站消息北京时间月日时分秒南美多国发布海啸预警当局下令沿海地区紧急疏散据报道地震还造成南美国家玻利维亚和秘鲁部分地区建筑摇晃经测量此次地震引发的海啸约有米高此次震中位于智利北部城市伊基克西北方向公里距离智利北部海岸公里地震发生时为智利当地时间晚间时分位于夏威夷的太平洋海啸预警中心发出警告智利秘鲁和厄瓜多尔已经发布海啸预警地震还造成南美国家玻利维亚和秘鲁部分地区建筑摇晃经测量此次地震引发的海啸约有米高智利应急办公室称预计一个大的海啸将在当地时间午夜前到达位于南太平洋上的胡安费尔南德斯岛该岛距离智利本土大约有公里报道指出智利是世界上地震最为多发的国家之一此前有预测称智利北部可能发生大地震年月智利中部和南部遭级强震袭击随后引发的海啸摧毁了许多城镇共造成超过人死亡及约亿美元的损失,地震
印尼地震将大批房屋夷为平地太平间被尸体淹没中新网月日电据美联社报道日早晨发生在印尼中爪哇省日惹市附近的里氏级强震已造成至少人死亡数百人受伤大批房屋被夷为平地距离震中最近的穆罕默迪亚医院官员库斯马万托在接受采访时说请告诉中央政府赶紧提供援助我们这里需要帮助有大量人员伤亡房屋被夷为平地许多人需要疏散贝斯西达医院管理太平间的工作人员苏班迪则说我们已经被尸体淹没章田,地震
斐济附近海域发生级地震新华社苏瓦月日电记者刘鹏据美国地质勘探局消息南太平洋岛国斐济附近海域当地时间日下午发生级地震目前尚无人员伤亡和财产损失报告美国地质勘探局地震监测网数据显示这次地震发生在当地时间日时分北京时间时分震中位于斐济首都苏瓦以南公里处海域震源深度公里太平洋海啸预警中心没有针对这次地震发布海啸预警斐济位于环太平洋火山地震带因地壳板块相互碰撞地震频发,地震
新疆察布查尔锡伯自治县级地震末有人员伤亡年月日据国家地震台网测定北京时间年月日时分在新疆维吾尔自治区伊犁哈萨克自治州察布查尔锡伯自治县北纬度东经度发生级地震震源深度约公里新疆察布查尔县级地震未接到人员伤亡报告新华社乌鲁木齐月日电记者曹志恒今天上午新疆察布查尔县级地震发生后当地党政部门已组织救援队赶赴震中目前尚未接到人员伤亡报告据当地政府介绍震中在琼博乐乡小博乐村距县城还有公里当地党政部门负责人和医疗公安民政等部门组成的救援队正在赶赴震中路中详细灾情还在进一步统计中察布查尔锡伯自治县是我国唯一一个锡伯族自治县面积平方公里地处新疆北部天山支脉乌孙山以北伊犁河以南的河谷盆地距乌鲁木齐公里新疆察布查尔县级地震末造成人员伤亡新华社乌鲁木齐月日电记者曹志恒月日时分新疆察布查尔锡伯自治县发生里氏级地震伊犁河谷地区伊宁市昭苏县和博尔塔拉蒙古自治州部分市县震感强烈地震灾害发生后伊犁州党委人民政府高度重视立即派察布查尔县委书记李永兴及州地震局领导率民政卫生公安等部门赶赴震区了解地震受灾情况开展抗震救灾工作据初步统计察布查尔昭苏两县除部分居民房屋因地震发生墙体裂缝外尚未接到人员牲畜伤亡及房屋倒塌的情况报告,地震
内蒙古人们感到地震后纷纷咨询地震情况年月日新华网呼和浩特月日电时分左右内蒙古自治区一些地区均感觉到较强烈震感一些群众纷纷向当地地震部门咨询情况当时正是呼和浩特市各单位刚刚上班之时许多单位工作人员感觉桌椅晃动看到灯管来回摆动赶紧从办公室跑到楼下随后一些市民赶紧向新闻媒体的朋友了解地震情况还有一部分市民直接拨打内蒙古自治区地震局值班电话使得地震部门值班人员应接不暇时分左右记者现场看到一些事业机关工作人员都站在院内通过手机向亲戚朋友询问是否感觉地震一些商店工作人员纷纷跑到店外大家议论到底哪里发生了地震记者电话采访获悉除呼和浩特内蒙古包头鄂尔多斯等地群众也感觉到较强烈震感,地震
昆明震感强烈许多市民冒雨走上街头年月日中新社昆明八月三十日电记者甘娜刘子倩八月三十日十六时三十分许四川省攀枝花市仁和区四川省凉山彝族自治州会理县交界处发生六点一级地震昆明有强烈震感记者致电云南省地震局相关负责人该负责人表示关于地震的相关情况及数据收集正在统计中此次地震昆明震感强烈许多市民冒雨走上街头通讯短暂中断现已恢复正常完,地震
四川汶川地震致重庆名学生死亡多人受伤年月日新华社重庆月日电记者从重庆市有关部门了解到日下午重庆多数地区有明显震感梁平县两所小学垮塌名学生死亡截至目前收到的情况重庆梁平县礼让镇中心小学顶楼发生垮塌多名学生受伤其中人重伤梁平县文化镇小学教学楼发生垮塌多名学生受伤名学生死亡部分学生被掩埋有关情况将随时续报梁平县出现震感后县委书记张道华县长李志雄立即指示相关部门和各乡镇收集震灾情况县委书记张道华带领相关部门负责人实地察看指挥抢险救灾县长李志雄负责统一调度指挥公安消防医院车已赶往现场施救记者还了解到日时分左右酉阳县县城以及龙潭酉酬大溪丁市后坪等乡镇普遍感受到微震房屋轻微震动目前无人员伤亡和财产损失情况情况发生后广大群众纷纷从房屋里跑到广场户外空地等地方暂辟目前全县生产生活正常水电气供应正常日时分左右云阳县出现轻微地动县城内居民明显感觉楼房晃动持续时间五分钟左右震感出现后造成联通移动小灵通手机信号中断居民大多聚集到广场街道等空旷地带观望截至目前没有接到人员伤亡及财产损失报告大多数居民已经消除恐惧回到家中对此云阳县委县政府高度重视要求相关部门密切关注事态发展受灾情况等正在收集中,地震
哥斯达黎加地震造成人死亡人失踪年月日新华社圣何塞月日电记者张源培哥斯达黎加红十字会日向新华社证实截至当日下午时日发生的地震已经造成人死亡人受伤另有人失踪根据哥红十字会的最新统计地震造成至少人直接受灾其中人无家可归哥斯达黎加国家紧急情况委员会和红十字会目前正在震中附近区域展开救援并且出动了架直升机前往灾区救助被困民众哥斯达黎加首都圣何塞附近日发生里氏级地震圣何塞市震感明显截至日上午时该地区又发生了近次余震,地震
贵阳有强烈震感通讯半瘫痪交通秩序正常年月日人民网记者孙海涛报道贵阳市区有强烈震感层楼上有明显感觉层以上楼内吊灯大幅度甩动鱼缸内水被晃出人们纷纷躲到空旷地带通讯陷入半瘫痪楼内单位已大部下班学校已放学但交通等城市秩序正常,地震
至时地震已造成川甘渝滇等地人死亡人受伤年月日新华网快讯民政部说截至时统计四川省汶川县级地震已造成四川甘肃重庆云南等地人死亡人受伤目前灾情还在进一步统计核实中,地震
智利北部海域发生级地震年月日新华网圣地亚哥月日电记者冷彤李丹智利北部城市伊基克市西南部日晚发生级地震目前尚无人员伤亡和财产损失的报告智利大学地震服务局发布消息说地震发生在智利当地时间日时分北京时间日时分震中位于第一大区塔拉帕卡首府伊基克市西南公里处的海域震源深度公里第二大区安托法加斯塔和第十五大区阿里卡和帕里纳科塔也有较强震感美国地质勘探局将此次地震的级别定为级智利国家紧急事务办公室表示目前尚未收到这次地震造成人员伤亡或者财产损失的报告智利海军水文和海洋局紧急事务办公室也排除了地震会引发海啸的可能性本月日智利北部地区发生级地震造成人死亡逾万所房屋不同程度受损一些城市断水断电公路遭到破坏近万居民被迫疏散自日以来智利北部地区余震不断平均每分钟就发生一次余震平均震级超过级日晚伊基克等北部城市在一个小时内分别发生级和级地震当地紧急事务部门立即发出海啸警报并向安全地区疏散了约万居民继日发生的级余震后北部地区日再次发生相同级别的余震,地震
印尼许多城市都有震感北部沿海地区也有震感年月日中新网月日电据日本读卖新闻报道印度尼西亚爪哇省日惹周边地区当地时间日上午时左右发生里氏级强烈地震据悉由于地震发生在人口密集地区目前死亡人数已经突破人受伤人数也已经超过数百据印尼当地媒体报道在印尼许多城市都能感觉到震动甚至于印尼北部沿海地区都有震感受灾严重的爪哇岛中部许多房屋建筑倒塌当地两个大型综合商业设施也已经在地震中倒塌此外印尼日惹机场也在地震中受到严重破坏机场塔台受损机场现已关闭航空救援因此难以顺利展开另据日本驻印尼雅加达大使馆报道地震发生时有名日本人停留在日惹目前还没有收到有日本人在地震中遇难的消息章田雅龙,地震
四川汶川县发生级地震西安城区有强烈震感年月日西部网讯日下午时分左右一场突如其来的地震给西安市民造成了不小的惊慌不少市民纷纷离开建筑西部网记者在地震发生后第一时间赶到陕西省地震局了解情况据陕西省地震局介绍根据国家地震台网的测定此次影响西安和陕西大部分地区的有感地震发生于北京时间年月日下午点分震中位于北纬度东经度大致位于四川省汶川县境内四川全境及陕西甘肃湖北等周边省区也有明显震感我省汉中地区由于距震中较近可能造成一定损失对西安及周遍地区影响不大由于通讯系统受到很大影响详细情况仍在了解中记者在西安市区看到高大建筑下和道路边都聚满了刚从建筑物中疏散出来的群众各建筑工地已经停止施工市内有线和无线通讯网络受到很大影响手机和固定电话都很难拨通不过由于红绿灯等交通指挥系统仍保持正常运做市区主要道路虽然车流量较大交通秩序仍基本正常公交系统也在正常运行此外地震还在南郊八里村引发一起火灾由于消防队及时赶到火势很快得到控制截止到记者发稿时西安市容市貌没有受到破坏群众情绪基本稳定,地震
南太平洋新喀里多尼亚发生级地震年月日新华社惠灵顿月日电记者刘洁秋据美国地质勘探局报告位于南太平洋的新喀里多尼亚附近海域日发生里氏级地震目前尚未有人员伤亡或财产损失的报告当天的地震发生在北京时间时分震中在洛亚蒂群岛附近震源深度约公里位于夏威夷的太平洋海啸预警中心没有发布海啸警报新喀里多尼亚位于南太平洋面积平方公里由新喀里多尼亚岛洛亚蒂群岛和无人居住的切斯特菲尔德群岛组成新喀里多尼亚是法国的海外属地,地震
浙江杭州高楼震感明显不会造成进一步影响年月日人民网杭州年月日电今天时分左右杭州市许多市民感觉到摇晃特别是层以上的高层建筑晃动感明显一些层以上高楼震感较强不少高层写字楼工作人员暂避室外空地地震对杭州的影响大约持续了分钟时间目前杭州市民群众生活工作秩序基本恢复正常浙江省地震局杭州市地震局表示受四川汶川地震影响浙江全省大部分地区震感明显高层建筑震感强烈但此次地震震中距离浙江多公里不会对浙江群众生活工作造成影响地震部门吁请市民不要恐慌据当地媒体报道下午时分左右许多市民拨打媒体咨询电话表示之前感受到明显的摇晃询问是否发生地震杭州日报一位记者说他们所在的楼也感觉到了摇晃很多同事表示头晕在没有风也没有开空调的情况下挂在天花板上的红灯笼较大幅度左右摇晃浙江省地震局介绍说由于高层楼房的自振周期长容易与长周期的地震波产生轻微共振四川省汶川县强地震的长周期地震波经过长时间长距离的搬运造成了高层楼房对地震波的反映浙江省地震局还在网站上公开辟谣说此前新浪搜狐等网站刊登浙江嘉兴等地发生级地震的消息纯属谣传本次地震的震中距离浙江多公里对浙江的影响仅仅是有轻微摇晃而已即使有余震也会非常轻微不会对群众的生活工作造成影响请广大群众尽可安心,地震
印尼爪哇省发生级地震已至少造成人死亡环球在线消息印度尼西亚官员月日表示爪哇省当天早些时候发生里氏级地震一些建筑倒塌并造成至少人死亡据美联社报道美国地质勘测机构称这次地震发生在凌晨点分左右震中位于日惹西南公里处医院方面称有人死亡还有数十名伤员被送往医院治疗而印尼警方则表示目前日惹的电力和通讯系统都已经瘫痪大宝,地震
贵州罗甸县发生级地震目前尚无人员伤亡报告年月日新华社贵阳月日电记者黄勇贵州省罗甸县日时分发生级地震截至时记者发稿时止罗甸县尚无接到人员伤亡和房屋倒塌的报告全县交通通讯正常罗甸县委书记沙先贵通过电话告诉记者时左右发生地震时县城震感比较明显地震发生后罗甸县委县政府召开全县应急会议启动地震应急预案安排公安武警消防警力在街道巡逻同时与全县个乡镇电话联系要求各地摸查受灾情况全县所有单位日晚安排人员小时值班并通过县电视台的滚动字幕将地震消息向全县如实通报公布相关应急值班电话沙先贵说经与个乡镇电话联系目前尚未接到有人员伤亡和房屋倒塌的情况报告贵州省地震局局长陈本金说此次地震震中位于罗甸县沫阳镇附近贵州省地震局已派人连夜赶赴罗甸罗甸县位于贵州南部是一个以布依族苗族为主的少数民族县南部与广西交界距贵阳约公里,地震
墨西哥强烈地震致栋房屋受损首都高楼晃动年月日中新网月日电据外电报道当地时间日中午点分北京时间日凌晨点分墨西哥南部发生里氏级地震造成震中附近的约栋房屋受损首都墨西哥城有明显震感市内高楼发生晃动在市民中引发恐慌据悉这是墨西哥自年以来发生的震级最高的地震之一此次震中位于南部瓦哈卡州附近地区震源深度公里震中首都墨西哥城多公里震区格雷罗州的官员称有约栋房屋受损栋房屋倒塌此后在震中地区又发生包括一次级地震在内的数次余震目前还没有人员死亡或严重伤情的报告格雷罗州州长已赶往震区检查受损情况并要求抢修队员和民防部门全力救灾该州并未说明被疏散的人数在首都墨西哥城正在上班的公司职员和居民纷纷逃出建筑到大街上躲避部分地区手机信号等电信通讯受到影响震区部分家庭电力中断墨西哥市长称已设立热线供人们报告损失情况墨西哥城机场一度关闭但官员称机场跑道没有受损并已恢复运行,地震
